日期,开盘,收盘,最高,最低,成交量
2021-03-01,4.74,4.77,4.84,4.72,35595989
2021-03-02,4.81,4.74,4.82,4.71,28357089
2021-03-03,4.73,4.92,4.96,4.71,55718792
2021-03-04,4.88,4.92,4.96,4.88,31703608
2021-03-05,4.89,4.88,4.92,4.79,32696180
2021-03-08,4.89,4.82,5.01,4.81,33740424
2021-03-09,4.89,5.0,5.07,4.83,91822666
2021-03-10,4.96,4.91,5.04,4.91,51619881
2021-03-11,4.94,5.02,5.09,4.92,63425351
2021-03-12,5.01,5.05,5.05,4.96,40364085
2021-03-15,5.08,5.45,5.56,5.08,208915939
2021-03-16,5.42,5.6,5.65,5.22,173710328
2021-03-17,5.5,5.46,5.56,5.37,85983463
2021-03-18,5.46,5.52,5.59,5.42,87664964
2021-03-19,5.44,5.42,5.49,5.33,63033440
2021-03-22,5.38,5.57,5.65,5.37,69926429
2021-03-23,5.53,5.57,5.7,5.51,91001541
2021-03-24,5.5,5.25,5.51,5.24,83811563
2021-03-25,5.25,5.29,5.37,5.22,45123276
2021-03-26,5.3,5.64,5.81,5.3,137244651
2021-03-29,5.66,5.54,5.73,5.5,78511063
2021-03-30,5.51,5.51,5.55,5.46,41719954
2021-03-31,5.45,5.46,5.54,5.42,37918957
2021-04-01,5.42,5.37,5.44,5.24,56417714
2021-04-02,5.37,5.39,5.42,5.31,34547297
2021-04-06,5.43,5.3,5.45,5.26,39088000
2021-04-07,5.3,5.64,5.66,5.29,105006672
2021-04-08,5.6,5.73,5.74,5.53,73570334
2021-04-09,5.72,5.55,5.74,5.53,42020785
2021-04-12,5.55,5.54,5.62,5.45,34485177
2021-04-13,5.58,5.48,5.61,5.39,38543405
2021-04-14,5.45,5.54,5.7,5.45,48266305
2021-04-15,5.52,5.59,5.62,5.45,34383880
2021-04-16,5.58,5.71,5.81,5.54,67611996
2021-04-19,5.75,5.78,5.92,5.66,71123196
2021-04-20,5.71,5.75,5.83,5.7,39767832
2021-04-21,5.68,5.62,5.69,5.57,38093489
2021-04-22,5.66,5.61,5.68,5.57,25354014
2021-04-23,5.58,5.54,5.64,5.5,38300200
2021-04-26,5.53,5.51,5.63,5.45,30655605
2021-04-27,5.5,5.41,5.54,5.37,26988588
2021-04-28,5.41,5.36,5.45,5.24,51434627
2021-04-29,5.35,5.38,5.43,5.28,28815726
2021-04-30,5.3,5.22,5.32,5.16,40859383
2021-05-06,5.18,5.2,5.27,5.15,28453105
2021-05-07,5.22,5.18,5.27,5.18,30477403
2021-05-10,5.18,5.1,5.19,5.06,32799611
2021-05-11,5.09,5.22,5.25,5.06,28834343
2021-05-12,5.2,5.14,5.27,5.12,31096519
2021-05-13,5.12,5.17,5.19,5.1,21599258
2021-05-14,5.17,5.26,5.31,5.13,37889023
2021-05-17,5.25,5.38,5.39,5.2,39852797
2021-05-18,5.37,5.53,5.54,5.32,34600664
2021-05-19,5.53,5.49,5.53,5.41,23195368
2021-05-20,5.49,5.58,5.62,5.43,28098325
2021-05-21,5.57,5.62,5.7,5.5,30691851
2021-05-24,5.64,5.68,5.68,5.57,34460379
2021-05-25,5.67,5.72,5.74,5.59,36900157
2021-05-26,5.73,5.72,5.78,5.62,40318521
2021-05-27,5.7,5.71,5.79,5.61,58436671
2021-05-28,5.7,5.6,5.7,5.54,38720234
2021-05-31,5.59,5.42,5.59,5.37,43578582
2021-06-01,5.41,5.39,5.41,5.29,42610703
2021-06-02,5.35,5.33,5.4,5.3,36883586
2021-06-03,5.36,5.31,5.38,5.3,28186370
2021-06-04,5.29,5.29,5.33,5.25,25581941
2021-06-07,5.28,5.23,5.29,5.19,28836426
2021-06-08,5.24,5.27,5.28,5.19,32354896
2021-06-09,5.27,5.18,5.27,5.18,37837063
2021-06-10,5.2,5.25,5.26,5.18,32493440
2021-06-11,5.26,5.24,5.26,5.13,43684092
2021-06-15,5.23,5.14,5.23,5.13,19557160
2021-06-16,5.14,5.1,5.15,5.09,17623086
2021-06-17,5.11,5.17,5.18,5.08,19067912
2021-06-18,5.18,5.23,5.24,5.13,20097870
2021-06-21,5.19,5.16,5.24,5.14,19579173
2021-06-22,5.19,5.15,5.22,5.1,20426131
2021-06-23,5.15,5.2,5.21,5.11,25283614
2021-06-24,5.18,5.2,5.27,5.16,22773028
2021-06-25,5.2,5.2,5.22,5.15,19259939
2021-06-28,5.21,5.14,5.21,5.1,25436320
2021-06-29,5.11,5.08,5.12,5.04,28526143
2021-06-30,5.07,5.08,5.11,5.06,11813689
2021-07-01,5.08,5.07,5.1,5.04,14673983
2021-07-02,5.07,5.03,5.09,5.01,14773765
2021-07-05,5.03,4.96,5.04,4.93,24010532
2021-07-06,4.92,4.93,5.01,4.91,22209749
2021-07-07,4.93,5.0,5.02,4.92,22267065
2021-07-08,4.98,4.99,5.0,4.91,33361184
2021-07-09,4.96,4.92,4.97,4.9,32634033
2021-07-12,4.92,4.8,4.93,4.79,41180551
2021-07-13,4.78,4.87,4.9,4.76,25320374
2021-07-14,4.86,4.78,4.86,4.76,23351473
2021-07-15,4.81,4.8,4.81,4.74,12273692
2021-07-16,4.79,4.97,4.99,4.78,43875410
2021-07-19,5.0,5.05,5.06,4.91,24639104
2021-07-20,5.0,5.05,5.1,4.99,21239278
2021-07-21,5.02,4.98,5.06,4.95,21037802
2021-07-22,4.96,4.97,4.99,4.94,11152238
2021-07-23,4.98,4.9,4.98,4.88,15118375
2021-07-26,4.87,4.84,4.89,4.8,18712444
2021-07-27,4.86,4.82,4.87,4.78,18681957
2021-07-28,4.83,4.71,4.83,4.61,21307077
2021-07-29,4.7,4.61,4.73,4.59,23607466
2021-07-30,4.58,4.41,4.58,4.4,41443694
2021-08-02,4.31,4.42,4.46,4.23,47307388
2021-08-03,4.42,4.46,4.47,4.37,18411991
2021-08-04,4.47,4.4,4.47,4.38,15747382
2021-08-05,4.35,4.37,4.42,4.35,16905330
2021-08-06,4.39,4.32,4.41,4.3,19859158
2021-08-09,4.31,4.41,4.42,4.29,16962469
2021-08-10,4.41,4.41,4.42,4.36,10351775
2021-08-11,4.41,4.45,4.5,4.4,14275035
2021-08-12,4.46,4.43,4.54,4.4,24651179
2021-08-13,4.44,4.42,4.47,4.35,40265664
2021-08-16,4.44,4.5,4.51,4.42,23729291
2021-08-17,4.5,4.65,4.87,4.5,62951158
2021-08-18,4.72,4.71,4.8,4.62,31359945
2021-08-19,4.71,4.74,4.8,4.61,25276775
2021-08-20,4.71,4.63,4.74,4.49,52307251
2021-08-23,4.61,4.62,4.67,4.57,19527818
2021-08-24,4.62,4.61,4.65,4.56,18695967
2021-08-25,4.61,4.69,4.72,4.61,27161300
2021-08-26,4.69,4.69,4.73,4.65,17680085
2021-08-27,4.68,4.66,4.71,4.63,12061281
2021-08-30,4.65,4.64,4.68,4.58,17232878
2021-08-31,4.63,4.7,4.72,4.6,20282740
2021-09-01,4.72,4.77,4.8,4.69,25693412
2021-09-02,4.78,4.79,4.81,4.73,21960740
2021-09-03,4.79,4.85,4.9,4.73,31107206
2021-09-06,4.83,4.87,4.91,4.81,21692748
2021-09-07,4.87,4.91,4.93,4.85,22440832
2021-09-08,4.9,4.97,4.99,4.9,23314883
2021-09-09,4.95,5.05,5.09,4.95,44234041
2021-09-10,5.1,5.05,5.22,5.04,53702564
2021-09-13,4.98,5.0,5.09,4.84,38851193
2021-09-14,4.98,4.8,5.01,4.78,56619056
2021-09-15,4.78,4.74,4.8,4.68,34494308
2021-09-16,4.73,4.59,4.78,4.57,49660151
2021-09-17,4.59,4.66,4.7,4.57,34419626
2021-09-22,4.63,4.66,4.68,4.6,21438193
2021-09-23,4.68,4.74,4.78,4.68,33240392
2021-09-24,4.75,4.75,4.82,4.73,21629550
2021-09-27,4.73,4.69,4.78,4.66,19891142
2021-09-28,4.68,4.75,4.76,4.65,17126859
2021-09-29,4.74,4.65,4.74,4.64,17422565
2021-09-30,4.7,4.71,4.72,4.65,15353011
2021-10-08,4.86,4.9,4.93,4.78,54087178
2021-10-11,4.89,5.06,5.07,4.84,65395347
2021-10-12,5.04,5.02,5.12,4.94,53733829
2021-10-13,5.0,5.03,5.12,4.91,56347186
2021-10-14,5.1,5.18,5.33,5.03,91083169
2021-10-15,5.18,5.05,5.2,5.01,62903878
2021-10-18,5.04,5.09,5.12,4.95,60327023
2021-10-19,5.02,4.91,5.09,4.89,49444409
2021-10-20,4.91,4.87,4.93,4.82,30031176
2021-10-21,4.86,4.79,4.89,4.75,39445732
2021-10-22,4.79,4.7,4.81,4.69,28477024
2021-10-25,4.63,4.68,4.69,4.58,31535029
2021-10-26,4.64,4.69,4.75,4.64,28456214
2021-10-27,4.7,4.66,4.71,4.63,24108855
2021-10-28,4.68,4.71,4.8,4.66,36541974
2021-10-29,4.72,4.83,4.87,4.66,42268128
2021-11-01,4.76,4.67,4.76,4.58,50692125
2021-11-02,4.61,4.69,4.75,4.61,37726892
2021-11-03,4.67,4.72,4.75,4.63,28633490
2021-11-04,4.7,4.78,4.83,4.7,21682067
2021-11-05,4.77,4.78,4.84,4.75,19900022
2021-11-08,4.95,4.91,5.12,4.89,61830556
2021-11-09,4.93,4.86,4.95,4.81,26077258
2021-11-10,4.83,4.88,4.9,4.8,21216070
2021-11-11,4.87,4.9,4.92,4.84,16409709
2021-11-12,4.88,4.97,5.02,4.86,32664784
2021-11-15,4.97,4.92,5.0,4.92,22174030
2021-11-16,4.92,4.98,5.04,4.91,44025411
2021-11-17,4.97,4.9,4.98,4.88,22411228
2021-11-18,4.9,4.82,4.91,4.8,19182240
2021-11-19,4.8,4.83,4.83,4.75,16104257
2021-11-22,4.83,4.84,4.86,4.8,8242980
2021-11-23,4.85,4.86,4.9,4.82,17791986
2021-11-24,4.85,4.87,4.88,4.8,12847622
2021-11-25,4.86,4.83,4.86,4.82,8599161
2021-11-26,4.8,4.77,4.8,4.74,13386369
2021-11-29,4.6,4.65,4.68,4.59,22749444
2021-11-30,4.65,4.66,4.69,4.65,20544041
2021-12-01,4.65,4.72,4.75,4.64,16503474
2021-12-02,4.73,4.71,4.76,4.69,11048752
2021-12-03,4.75,4.76,4.77,4.7,17152790
2021-12-06,4.73,4.75,4.76,4.71,12747808
2021-12-07,4.78,4.83,4.89,4.78,35453775
2021-12-08,4.84,4.81,4.85,4.77,14111213
2021-12-09,4.88,4.85,4.88,4.8,28325869
2021-12-10,4.81,4.83,4.86,4.8,17178694
2021-12-13,4.83,4.76,4.83,4.73,20899461
2021-12-14,4.73,4.69,4.73,4.67,20637604
2021-12-15,4.69,4.69,4.72,4.67,11755086
2021-12-16,4.71,4.73,4.74,4.68,10204989
2021-12-17,4.73,4.77,4.77,4.7,14899925
2021-12-20,4.75,4.71,4.76,4.7,13539431
2021-12-21,4.73,4.76,4.79,4.71,24860426
2021-12-22,4.81,4.79,4.84,4.78,25924471
2021-12-23,4.79,4.77,4.83,4.73,16001549
2021-12-24,4.78,4.76,4.8,4.71,11988723
2021-12-27,4.75,4.81,4.85,4.74,27985292
2021-12-28,4.8,4.82,4.83,4.77,23937134
2021-12-29,4.83,5.0,5.15,4.82,115561061
2021-12-30,4.97,5.09,5.14,4.94,51090093
2021-12-31,5.15,5.16,5.22,5.04,53682236
2022-01-04,5.17,5.26,5.3,5.11,56413993
2022-01-05,5.27,5.27,5.36,5.2,43926805
2022-01-06,5.25,5.21,5.27,5.15,40018916
2022-01-07,5.24,5.34,5.35,5.21,42956388
