日期,开盘,收盘,最高,最低,成交量
2021-08-19,8.05144908,8.0665267,9.66475442,8.05144908,490918560
2021-08-20,7.25987403,7.25987403,7.39557261,7.25987403,73841698
2021-08-23,6.5587647,6.71707971,6.99601568,6.55122589,309995456
2021-08-24,6.59645875,6.43814374,6.66430804,6.41552731,224612176
2021-08-25,6.4079885,6.30998397,6.49845422,6.30244516,154736520
2021-08-26,6.32506159,6.12905253,6.34013921,6.12151372,145447120
2021-08-27,6.12151372,6.04612562,6.15920777,6.03858681,89658158
2021-08-30,6.031048,5.85011656,6.04612562,5.84257775,119283569
2021-08-31,5.81242251,5.89534942,5.92550466,5.76718965,100112273
2021-09-01,5.85765537,5.97073752,6.09889729,5.78226727,133898245
2021-09-02,5.91042704,5.8802718,5.93304347,5.85011656,82510215
2021-09-03,5.8802718,6.02350919,6.16674658,5.85765537,126283301
2021-09-06,5.96319871,5.99335395,6.04612562,5.91796585,78039932
2021-09-07,5.97073752,5.99335395,6.02350919,5.91796585,73919958
2021-09-08,5.96319871,5.98581514,6.04612562,5.94058228,64366101
2021-09-09,5.97827633,6.031048,6.05366443,5.9556599,68999206
2021-09-10,6.00843157,6.09889729,6.1818242,6.00843157,114331210
2021-09-13,6.06874205,6.00089276,6.06874205,5.97073752,62627367
2021-09-14,5.97073752,5.85765537,6.00089276,5.85011656,69536629
2021-09-15,5.85011656,5.84257775,5.87273299,5.82750013,34203869
2021-09-16,5.83503894,5.77472846,5.86519418,5.77472846,41931408
2021-09-17,5.77472846,5.69934036,5.78980608,5.67672393,49010792
2021-09-22,5.62395226,5.62395226,5.63149107,5.59379702,32384788
2021-09-23,5.68426274,5.68426274,5.75211203,5.66918512,29306857
2021-09-24,5.69180155,5.61641345,5.69934036,5.60887464,25339720
2021-09-27,5.62395226,5.52594773,5.63149107,5.51840892,36142467
2021-09-28,5.51840892,5.54856416,5.59379702,5.51087011,22394132
2021-09-29,5.51840892,5.5033313,5.55610297,5.47317606,31200906
2021-09-30,5.5033313,5.49579249,5.51087011,5.48071487,18348026
2021-10-08,5.5033313,5.54856416,5.56364178,5.5033313,18649978
2021-10-11,5.54856416,5.60133583,5.66918512,5.54856416,27501054
2021-10-12,5.5787194,5.51840892,5.58625821,5.49579249,23749443
2021-10-13,5.51840892,5.59379702,5.64656869,5.47317606,33665534
2021-10-14,5.56364178,5.54102535,5.57118059,5.53348654,17830382
2021-10-15,5.53348654,5.51840892,5.57118059,5.51087011,17285333
2021-10-18,5.51087011,5.49579249,5.52594773,5.48825368,15696145
2021-10-19,5.51087011,5.49579249,5.52594773,5.49579249,13368684
2021-10-20,5.49579249,5.47317606,5.5033313,5.47317606,15110282
2021-10-21,5.48071487,5.5033313,5.53348654,5.48071487,24749631
2021-10-22,5.5033313,5.48071487,5.53348654,5.48071487,18965574
2021-10-25,5.47317606,5.44302082,5.48825368,5.4279432,20706527
2021-10-26,5.43548201,5.42040439,5.45809844,5.42040439,15829764
2021-10-27,5.41286558,5.32239986,5.4279432,5.30732224,27462316
2021-10-28,5.31486105,5.19424009,5.31486105,5.17916247,28868838
2021-10-29,5.2017789,5.21685652,5.23193414,5.16408485,14840419
2021-11-01,5.24701176,5.31486105,5.32993867,5.23193414,22526979
2021-11-02,5.29224462,5.21685652,5.32239986,5.20931771,21574387
2021-11-03,5.2017789,5.22439533,5.23193414,5.19424009,9455711
2021-11-04,5.22439533,5.23193414,5.24701176,5.21685652,10354306
2021-11-05,5.21685652,5.23947295,5.25455057,5.21685652,11453694
2021-11-08,5.23193414,5.24701176,5.26208938,5.22439533,9949543
2021-11-09,5.25455057,5.24701176,5.26208938,5.23947295,9758268
2021-11-10,5.24701176,5.23947295,5.25455057,5.2017789,12425078
2021-11-11,5.23193414,5.28470581,5.29978343,5.22439533,20154593
2021-11-12,5.29224462,5.26962819,5.29978343,5.24701176,12512921
2021-11-15,5.26962819,5.29224462,5.29224462,5.26208938,9838772
2021-11-16,5.29224462,5.26208938,5.29978343,5.26208938,11880488
2021-11-17,5.26208938,5.26208938,5.26962819,5.24701176,9260820
2021-11-18,5.25455057,5.23947295,5.26208938,5.23947295,9603331
2021-11-19,5.23947295,5.277167,5.28470581,5.22439533,14477406
2021-11-22,5.28470581,5.26962819,5.28470581,5.26208938,11709992
2021-11-23,5.26962819,5.29978343,5.30732224,5.26962819,14526271
2021-11-24,5.29978343,5.31486105,5.32993867,5.277167,12216296
2021-11-25,5.30732224,5.28470581,5.30732224,5.28470581,8070300
2021-11-26,5.29224462,5.26962819,5.29978343,5.26208938,9981470
2021-11-29,5.26208938,5.28470581,5.29978343,5.23947295,13876846
2021-11-30,5.28470581,5.30732224,5.31486105,5.28470581,13251384
2021-12-01,5.31486105,5.36763272,5.37517153,5.29978343,19935133
2021-12-02,5.38271034,5.36009391,5.39024915,5.3525551,19302972
2021-12-03,5.36792256,5.33662272,5.38357248,5.31314784,23795796
2021-12-06,5.35227264,5.32879776,5.39139744,5.3209728,22765471
2021-12-07,5.3600976,5.3209728,5.36792256,5.29749792,20903652
2021-12-08,5.3209728,5.3209728,5.32879776,5.30532288,13030306
2021-12-09,5.31314784,5.37574752,5.42269728,5.30532288,34274332
2021-12-10,5.34444768,5.33662272,5.3600976,5.32879776,18050189
2021-12-13,5.33662272,5.32879776,5.3600976,5.32879776,14288030
2021-12-14,5.32879776,5.31314784,5.33662272,5.30532288,12630743
2021-12-15,5.3209728,5.3209728,5.32879776,5.30532288,9171798
2021-12-16,5.3209728,5.32879776,5.32879776,5.31314784,10632371
2021-12-17,5.32879776,5.30532288,5.32879776,5.30532288,14074905
2021-12-20,5.29749792,5.281848,5.30532288,5.281848,15684000
2021-12-21,5.27402304,5.32879776,5.34444768,5.27402304,20793772
2021-12-22,5.34444768,5.31314784,5.34444768,5.30532288,12603825
2021-12-23,5.31314784,5.29749792,5.31314784,5.28967296,10922793
2021-12-24,5.28967296,5.26619808,5.29749792,5.25837312,15371821
2021-12-27,5.27402304,5.27402304,5.281848,5.26619808,7088301
2021-12-28,5.27402304,5.27402304,5.281848,5.26619808,6479237
2021-12-29,5.27402304,5.26619808,5.281848,5.25837312,7367647
2021-12-30,5.26619808,5.26619808,5.27402304,5.25837312,8352642
2021-12-31,5.27402304,5.281848,5.281848,5.26619808,8796649
2022-01-04,5.281848,5.30532288,5.30532288,5.27402304,15860822
2022-01-05,5.29749792,5.3209728,5.33662272,5.28967296,21886641
2022-01-06,5.3209728,5.31314784,5.34444768,5.30532288,18549664
2022-01-07,5.3209728,5.35227264,5.36792256,5.31314784,27699931
2022-01-10,5.35227264,5.35227264,5.36792256,5.33662272,20286386
2022-01-11,5.34444768,5.36792256,5.39139744,5.32879776,22244291
2022-01-12,5.36792256,5.3600976,5.36792256,5.33662272,15900523
2022-01-13,5.34444768,5.36792256,5.42269728,5.34444768,28302395
2022-01-14,5.36792256,5.31314784,5.37574752,5.30532288,23062600
2022-01-17,5.30532288,5.3209728,5.33662272,5.30532288,10724765
2022-01-18,5.32879776,5.35227264,5.3600976,5.30532288,18470409
2022-01-19,5.33662272,5.34444768,5.3600976,5.3209728,13375137
2022-01-20,5.34444768,5.44617216,5.5948464,5.32879776,73700515
2022-01-21,5.3992224,5.37574752,5.40704736,5.3600976,34030834
2022-01-24,5.36792256,5.33662272,5.36792256,5.3209728,18497257
2022-01-25,5.32879776,5.23489824,5.33662272,5.22707328,25984622
2022-01-26,5.23489824,5.23489824,5.25837312,5.21924832,13193132
2022-01-27,5.22707328,5.17229856,5.26619808,5.1644736,20967235
2022-01-28,5.17229856,5.18794848,5.2035984,5.17229856,12622916
2022-02-07,5.22707328,5.25054816,5.27402304,5.21142336,11744920
2022-02-08,5.25054816,5.32879776,5.33662272,5.23489824,24611212
2022-02-09,5.32879776,5.34444768,5.35227264,5.3209728,24416364
2022-02-10,5.32879776,5.34444768,5.35227264,5.31314784,15309156
2022-02-11,5.33662272,5.3600976,5.41487232,5.32879776,34489882
2022-02-14,5.34444768,5.281848,5.35227264,5.26619808,20844500
2022-02-15,5.26619808,5.26619808,5.30532288,5.25054816,10540000
2022-02-16,5.27402304,5.28967296,5.30532288,5.26619808,8599733
2022-02-17,5.28967296,5.25837312,5.28967296,5.25837312,9776441
2022-02-18,5.2427232,5.281848,5.28967296,5.2427232,8979263
2022-02-21,5.27402304,5.281848,5.281848,5.25837312,8390731
2022-02-22,5.27402304,5.23489824,5.27402304,5.22707328,14242700
2022-02-23,5.2427232,5.25054816,5.25054816,5.22707328,8346364
2022-02-24,5.25054816,5.18794848,5.25054816,5.17229856,18853877
2022-02-25,5.19577344,5.19577344,5.21924832,5.18794848,8854106
2022-02-28,5.18012352,5.18794848,5.19577344,5.17229856,7118342
2022-03-01,5.19577344,5.21924832,5.22707328,5.18794848,6758811
2022-03-02,5.18794848,5.2035984,5.21924832,5.18794848,5353797
2022-03-03,5.2035984,5.21924832,5.23489824,5.2035984,7172837
2022-03-04,5.22707328,5.2035984,5.22707328,5.19577344,7599707
2022-03-07,5.2035984,5.17229856,5.2035984,5.1644736,11205965
2022-03-08,5.1644736,5.10187392,5.18012352,5.09404896,14787295
2022-03-09,5.10187392,4.96102464,5.11752384,4.85930016,19971152
2022-03-10,5.02362432,4.98449952,5.02362432,4.97667456,8136116
2022-03-11,4.96102464,5.10187392,5.10187392,4.90624992,16694511
2022-03-14,5.05492416,5.06274912,5.11752384,5.03927424,10352562
2022-03-15,5.0470992,4.88277504,5.0470992,4.86712512,16316782
2022-03-16,4.9297248,4.95319968,4.97667456,4.79670048,16702178
2022-03-17,4.98449952,4.9688496,5.01579936,4.95319968,12614429
2022-03-18,4.96102464,5.01579936,5.07057408,4.95319968,13340278
2022-03-21,5.0079744,5.01579936,5.01579936,4.9688496,7893414
2022-03-22,5.00014944,5.03144928,5.06274912,4.98449952,7872880
2022-03-23,5.01579936,5.0079744,5.03144928,5.00014944,6200000
2022-03-24,5.0079744,4.98449952,5.03927424,4.97667456,6295960
2022-03-25,4.98449952,4.97667456,5.00014944,4.9688496,6074278
2022-03-28,4.95319968,4.98449952,5.03144928,4.9297248,7286314
2022-03-29,5.00014944,4.97667456,5.00014944,4.9688496,5852485
2022-03-30,4.9688496,5.01579936,5.02362432,4.9688496,9754261
2022-03-31,4.99232448,5.03927424,5.086224,4.97667456,17063095
2022-04-01,5.01579936,5.18794848,5.19577344,5.01579936,43807678
2022-04-06,5.15664864,5.29749792,5.31314784,5.13317376,47898202
2022-04-07,5.281848,5.17229856,5.30532288,5.17229856,29240065
2022-04-08,5.17229856,5.19577344,5.25837312,5.1253488,19310825
2022-04-11,5.18012352,5.06274912,5.18012352,5.0470992,17947699
2022-04-12,5.06274912,5.1253488,5.15664864,5.02362432,14414138
2022-04-13,5.10969888,5.086224,5.13317376,5.07839904,9935100
2022-04-14,5.10969888,5.10187392,5.13317376,5.086224,11244950
2022-04-15,5.07057408,5.1253488,5.15664864,5.06274912,15290114
2022-04-18,5.086224,5.0079744,5.09404896,4.98449952,16321942
2022-04-19,5.0079744,5.01579936,5.03144928,4.98449952,7434380
2022-04-20,5.01579936,4.96102464,5.02362432,4.96102464,10025700
2022-04-21,4.96102464,4.87495008,4.99232448,4.86712512,13223202
2022-04-22,4.85930016,4.88277504,4.93754976,4.8514752,13384737
2022-04-25,4.83582528,4.68715104,4.84365024,4.67932608,23813656
2022-04-26,4.70280096,4.5776016,4.71845088,4.56977664,16592363
2022-04-27,4.5384768,4.64020128,4.64020128,4.49152704,11878669
2022-04-28,4.62455136,4.60107648,4.66367616,4.5776016,7277600
2022-04-29,4.60890144,4.68715104,4.68715104,4.60107648,9599106
2022-05-05,4.76540064,4.8906,4.94537472,4.74975072,27000111
2022-05-06,4.82017536,4.8514752,4.91407488,4.79670048,13540537
2022-05-09,4.8514752,4.92189984,4.92189984,4.84365024,12806251
2022-05-10,4.8906,4.92189984,4.94537472,4.86712512,11354946
2022-05-11,4.92189984,4.91407488,4.9688496,4.91407488,9575100
2022-05-12,4.89842496,4.96102464,4.9688496,4.8906,8869051
2022-05-13,4.95319968,4.99232448,5.0079744,4.94537472,10510833
2022-05-16,5.00014944,4.96102464,5.00014944,4.95319968,10816864
2022-05-17,4.96102464,4.96102464,4.99232448,4.95319968,6192785
2022-05-18,4.96102464,4.95319968,4.9688496,4.93754976,5405600
2022-05-19,4.93754976,4.9297248,4.93754976,4.8906,7946018
2022-05-20,4.9297248,4.9688496,4.97667456,4.9297248,8212065
2022-05-23,4.96102464,4.97667456,4.97667456,4.93754976,5980836
2022-05-24,4.98449952,4.9297248,5.00014944,4.91407488,9972598
2022-05-25,4.91407488,4.93754976,4.94537472,4.90624992,5988460
2022-05-26,4.93754976,4.96102464,4.97667456,4.92189984,7360548
2022-05-27,4.97667456,4.98449952,4.98449952,4.95319968,9473900
2022-05-30,5.00014944,5.06274912,5.07839904,4.99232448,24273735
2022-05-31,5.05492416,5.086224,5.09404896,5.03144928,9102134
2022-06-01,5.06274912,5.086224,5.10187392,5.05492416,7795982
2022-06-02,5.06274912,5.086224,5.09404896,5.03927424,8743218
2022-06-06,5.086224,5.07839904,5.086224,5.05492416,6627281
2022-06-07,5.07839904,5.10969888,5.14882368,5.06274912,13481609
2022-06-08,5.10187392,5.1253488,5.13317376,5.09404896,9201554
2022-06-09,5.11752384,5.14099872,5.18794848,5.10969888,14627180
2022-06-10,5.11752384,5.11752384,5.18012352,5.09404896,33904420
2022-06-13,5.10187392,5.07057408,5.10969888,5.0470992,14452671
2022-06-14,5.0470992,5.1253488,5.13317376,5.0470992,14070910
2022-06-15,5.11752384,5.2035984,5.281848,5.10969888,43286892
2022-06-16,5.21142336,5.14882368,5.21924832,5.1253488,21691851
2022-06-17,5.14099872,5.1253488,5.15664864,5.10187392,12896236
2022-06-20,5.10969888,5.10187392,5.13317376,5.09404896,8266400
2022-06-21,5.11752384,5.10187392,5.1253488,5.086224,6881892
2022-06-22,5.10187392,5.0470992,5.10187392,5.03927424,7381000
2022-06-23,5.06274912,5.09404896,5.09404896,5.0470992,6350105
2022-06-24,5.10187392,5.11752384,5.1253488,5.09404896,7327540
