日期,开盘,收盘,最高,最低,成交量
2021-03-01,5.28877548,5.29741727,5.30605906,5.24556653,36008755
2021-03-02,5.28877548,5.26285011,5.31470085,5.23692474,36545256
2021-03-03,5.24556653,5.34062622,5.38383517,5.23692474,67345939
2021-03-04,5.28877548,5.30605906,5.36655159,5.28877548,48593215
2021-03-05,5.28877548,5.30605906,5.34062622,5.25420832,37630864
2021-03-08,5.33198443,5.28877548,5.38383517,5.28877548,53959343
2021-03-09,5.28013369,5.21964116,5.32334264,5.185074,55033439
2021-03-10,5.24556653,5.17643221,5.25420832,5.17643221,37587436
2021-03-11,5.19371579,5.22828295,5.23692474,5.185074,34045772
2021-03-12,5.22828295,5.21964116,5.23692474,5.17643221,31407065
2021-03-15,5.21099937,5.21964116,5.23692474,5.19371579,30404913
2021-03-16,5.22828295,5.26285011,5.2714919,5.21964116,34721636
2021-03-17,5.26285011,5.23692474,5.2714919,5.21964116,26968082
2021-03-18,5.22828295,5.21099937,5.24556653,5.20235758,25141438
2021-03-19,5.19371579,5.15050684,5.20235758,5.13322326,40624331
2021-03-22,5.15050684,5.17643221,5.185074,5.13322326,27386730
2021-03-23,5.17643221,5.17643221,5.21099937,5.15050684,25211291
2021-03-24,5.15914863,5.15050684,5.185074,5.12458147,32598034
2021-03-25,5.15914863,5.14186505,5.16779042,5.13322326,23308642
2021-03-26,5.14186505,5.185074,5.20235758,5.14186505,32537212
2021-03-29,5.17643221,5.14186505,5.185074,5.13322326,25307251
2021-03-30,5.15050684,5.14186505,5.15050684,5.12458147,20931925
2021-03-31,5.14186505,5.13322326,5.15050684,5.11593968,20756555
2021-04-01,5.12458147,5.13322326,5.14186505,5.11593968,18602156
2021-04-02,5.12458147,5.12458147,5.13322326,5.11593968,19261205
2021-04-06,5.12458147,5.12458147,5.13322326,5.10729789,16322476
2021-04-07,5.11593968,5.14186505,5.15050684,5.10729789,21542736
2021-04-08,5.14186505,5.15914863,5.20235758,5.12458147,36214888
2021-04-09,5.14186505,5.12458147,5.14186505,5.11593968,22284347
2021-04-12,5.12458147,5.11593968,5.14186505,5.10729789,20579479
2021-04-13,5.11593968,5.10729789,5.12458147,5.0986561,19349432
2021-04-14,5.11593968,5.11593968,5.12458147,5.10729789,15735275
2021-04-15,5.10729789,5.09001431,5.11593968,5.06408894,23370880
2021-04-16,5.08137252,5.11593968,5.11593968,5.08137252,17987203
2021-04-19,5.11593968,5.14186505,5.14186505,5.0986561,22923654
2021-04-20,5.12458147,5.11593968,5.14186505,5.10729789,17516140
2021-04-21,5.0986561,5.10729789,5.11593968,5.09001431,13768753
2021-04-22,5.12458147,5.11593968,5.14186505,5.0986561,17795100
2021-04-23,5.11593968,5.11593968,5.14186505,5.09001431,21290174
2021-04-26,5.0986561,5.07273073,5.10729789,5.06408894,25882072
2021-04-27,5.07273073,5.05544715,5.08137252,5.02087999,29765900
2021-04-28,5.03816357,5.02952178,5.04680536,5.00359641,20009902
2021-04-29,5.07273073,5.185074,5.23692474,5.06408894,95794721
2021-04-30,5.185074,5.23692474,5.2714919,5.15050684,88747577
2021-05-06,5.21964116,5.21964116,5.26285011,5.17643221,48637251
2021-05-07,5.21964116,5.21964116,5.25420832,5.185074,34152582
2021-05-10,5.21099937,5.185074,5.21099937,5.15050684,36818510
2021-05-11,5.16779042,5.24556653,5.25420832,5.13322326,49734324
