日期,开盘,收盘,最高,最低,成交量
2021-03-01,11.13196786,11.22306416,11.2959412,10.71292488,531899040
2021-03-02,11.0226523,10.70381525,11.0226523,10.52162265,495700048
2021-03-03,10.89511748,11.22306416,11.25039305,10.7493634,522198992
2021-03-04,10.86778859,10.43052635,10.95888489,10.2027856,603698528
2021-03-05,9.82018114,10.020593,10.13901819,9.6562078,532956768
2021-03-08,10.32121079,9.71997521,10.3849782,9.64709817,418196496
2021-03-09,9.7473041,9.75641373,10.08436041,9.11873963,505206080
2021-03-10,9.82929077,9.55600187,9.8384004,9.42846705,296477776
2021-03-11,9.70175595,10.51251302,10.51251302,9.60155002,572997920
2021-03-12,10.66737673,10.33943005,10.72203451,10.07525078,460870192
2021-03-15,10.2938819,10.24833375,10.60360932,9.99326411,418274400
2021-03-16,10.27566264,10.12079893,10.2938819,9.79285225,305393456
2021-03-17,9.8384004,10.10257967,10.12079893,9.71086558,244471019
2021-03-18,10.3849782,10.18456634,10.53984191,10.15723745,302583472
2021-03-19,9.85661966,9.86572929,10.04792189,9.73819447,360642224
2021-03-22,9.79285225,9.71086558,9.87483892,9.48312483,311295888
2021-03-23,9.82018114,9.22805519,9.87483892,9.10963,437961712
2021-03-24,9.0185337,8.52661368,9.13695889,8.4719559,573323232
2021-03-25,8.60860035,8.70880628,8.91832777,8.57216183,397265840
2021-03-26,8.7452448,9.02764333,9.12784926,8.67236776,408898176
2021-03-29,9.03675296,9.04586259,9.10963,8.79079295,295006016
2021-03-30,8.93654703,9.04586259,9.25538408,8.81812184,296079312
2021-03-31,8.93654703,8.76346406,8.95476629,8.60860035,341747840
2021-04-01,8.85456036,8.87277962,8.94565666,8.75435443,230815665
2021-04-02,8.97298555,9.22805519,9.23716482,8.94565666,395349728
2021-04-06,9.42846705,9.24627445,9.51045372,9.22805519,306084880
2021-04-07,9.33737075,9.32826112,9.37380927,9.0185337,253068408
2021-04-08,9.2918226,9.59244039,9.72908484,9.17339741,409922288
2021-04-09,9.64709817,9.37380927,9.67442706,9.33737075,227726836
2021-04-12,9.26449371,8.81812184,9.26449371,8.7452448,382576976
2021-04-13,8.73613517,8.8363411,8.95476629,8.66325813,215462208
2021-04-14,8.85456036,9.04586259,9.08230111,8.85456036,222354597
2021-04-15,9.2007263,9.30093223,9.32826112,8.9274374,283596688
2021-04-16,9.62887891,9.31915149,9.73819447,9.2918226,411957776
2021-04-19,9.32826112,9.70175595,9.70175595,9.09141074,399896656
2021-04-20,9.5651115,9.78374262,9.89305818,9.52867298,375163760
2021-04-21,9.5651115,9.61065965,9.71086558,9.42846705,240994349
2021-04-22,9.71086558,9.6562078,9.86572929,9.58333076,258894772
2021-04-23,9.61976928,9.82018114,9.85661966,9.48312483,285518032
2021-04-26,10.04792189,10.15723745,10.3849782,9.95682559,486226800
2021-04-27,10.31210116,10.28477227,10.51251302,10.02970263,490881808
2021-04-28,10.03881226,10.10257967,10.23011449,9.88394855,299160544
2021-04-29,10.30299153,10.34853968,10.45785524,10.16634708,352853728
2021-04-30,10.2027856,10.04792189,10.39408783,9.88394855,369975088
2021-05-06,10.53073228,10.51251302,10.90422711,10.39408783,498383280
2021-05-07,10.90422711,10.85867896,11.01354267,10.78580192,501563280
2021-05-10,11.25039305,11.25039305,11.3870375,11.04998119,577791600
2021-05-11,10.8404597,10.54895154,10.8404597,10.30299153,533978720
2021-05-12,10.4760745,10.70381525,10.73114414,10.39408783,267046039
2021-05-13,10.25744338,10.09347004,10.39408783,10.020593,401687360
2021-05-14,10.02970263,10.07525078,10.12990856,9.7473041,359966288
2021-05-17,10.12990856,10.43052635,10.4760745,10.020593,382905376
2021-05-18,10.69470562,10.68559599,10.82224044,10.55806117,293717680
2021-05-19,10.53984191,10.40319746,10.53984191,10.31210116,260692258
2021-05-20,9.9294967,9.95682559,10.1116893,9.6562078,440449024
2021-05-21,9.8384004,9.85661966,10.04792189,9.71997521,273640496
2021-05-24,9.61976928,9.67442706,9.80196188,9.55600187,261063789
2021-05-25,9.73819447,9.95682559,10.02970263,9.61065965,309188928
2021-05-26,9.95682559,10.07525078,10.19367597,9.91127744,264624958
2021-05-27,10.19367597,10.14812782,10.23922412,9.98415448,235782674
2021-05-28,10.42141672,10.19367597,10.48518413,10.19367597,284479216
2021-05-31,10.28477227,10.23011449,10.36675894,10.10257967,274209232
2021-06-01,10.15723745,10.42141672,10.42141672,10.08436041,299210048
2021-06-02,10.2938819,10.18456634,10.3849782,10.15723745,241051336
2021-06-03,10.14812782,10.020593,10.26655301,10.020593,264730027
2021-06-04,9.57422113,9.87483892,9.99326411,9.46490557,402898080
