Date,StockCode,Action,Shares,Price,Amount,PnL_Amount,PnL_Percent,Reason,Cash_Remaining
2025-03-03,002245,BUY,12700,15.75,199979.55,0.0,0.0,主升浪启动,800020.45
2025-03-03,300450,BUY,8200,24.13,197879.16,0.0,0.0,主升浪启动,602141.29
2025-03-03,600031,BUY,11000,18.18,199977.67,0.0,0.0,主升浪启动,402163.62
2025-03-03,688213,BUY,1800,110.44,198783.05,0.0,0.0,主升浪启动,203380.57
2025-03-03,002074,BUY,8200,24.12,197804.4,0.0,0.0,主升浪启动,5576.17
2025-03-03,300457,BUY,200,21.77,4354.71,0.0,0.0,主升浪启动,1221.47
2025-03-04,002245,SELL,12700,15.01,190625.26,-9354.29,-4.68,止损,191846.73
2025-03-04,002049,BUY,2800,67.76,189724.24,0.0,0.0,主升浪启动,2122.49
2025-03-04,002389,BUY,100,19.86,1985.77,0.0,0.0,主升浪启动,136.72
2025-03-04,300457,SELL,200,21.0,4199.61,-155.1,-3.56,策略S点(破均线),4336.32
2025-03-04,600879,BUY,400,9.44,3774.67,0.0,0.0,主升浪启动,561.65
2025-03-05,688213,SELL,1800,105.81,190454.8,-8328.25,-4.19,止损,191016.45
2025-03-05,000157,BUY,24600,7.76,190777.87,0.0,0.0,主升浪启动,238.58
2025-03-05,300450,SELL,8200,23.34,191416.8,-6462.36,-3.27,策略S点(破均线),191655.38
2025-03-05,600667,BUY,24600,7.77,191065.51,0.0,0.0,主升浪启动,589.88
2025-03-05,002195,BUY,100,5.73,573.0,0.0,0.0,主升浪启动,16.88
2025-03-06,002074,SELL,8200,23.37,191674.1,-6130.3,-3.1,止损,191690.97
2025-03-06,002155,BUY,12200,15.71,191638.53,0.0,0.0,主升浪启动,52.44
2025-03-07,002195,SELL,100,6.93,693.0,120.0,20.94,止盈,745.44
2025-03-07,000932,BUY,100,5.13,513.04,0.0,0.0,主升浪启动,232.4
2025-03-10,600667,SELL,24600,7.44,183064.03,-8001.47,-4.19,止损,183296.43
2025-03-10,603799,BUY,4800,37.88,181842.66,0.0,0.0,主升浪启动,1453.76
2025-03-11,600398,BUY,100,8.37,837.3,0.0,0.0,主升浪启动,616.47
2025-03-11,000932,SELL,100,4.97,497.41,-15.64,-3.05,止损,1113.87
2025-03-12,002155,SELL,12200,17.94,218882.63,27244.1,14.22,止盈,219996.5
2025-03-12,000733,BUY,3700,53.09,196441.08,0.0,0.0,主升浪启动,23555.43
2025-03-12,600885,BUY,900,26.05,23448.6,0.0,0.0,主升浪启动,106.82
2025-03-12,600031,SELL,11000,19.49,214444.14,14466.47,7.23,超时强平(7天),214550.96
2025-03-12,002891,BUY,4800,41.18,197651.34,0.0,0.0,主升浪启动,16899.63
2025-03-12,000408,BUY,400,36.61,14645.2,0.0,0.0,主升浪启动,2254.42
2025-03-13,000157,SELL,24600,7.63,187771.67,-3006.2,-1.58,策略S点(破均线),190026.09
2025-03-13,688166,BUY,4400,42.27,185977.99,0.0,0.0,主升浪启动,4048.1
2025-03-13,600879,SELL,400,9.78,3913.89,139.21,3.69,超时强平(7天),7961.99
2025-03-13,002049,SELL,2800,69.07,193408.21,3683.97,1.94,超时强平(7天),201370.2
2025-03-13,002389,SELL,100,21.77,2177.27,191.5,9.64,超时强平(7天),203547.46
2025-03-13,603979,BUY,4500,44.3,199331.65,0.0,0.0,主升浪启动,4215.81
2025-03-14,002517,BUY,200,17.84,3567.08,0.0,0.0,主升浪启动,648.74
2025-03-14,600398,SELL,100,8.1,809.97,-27.32,-3.26,止损,1458.71
2025-03-17,002292,BUY,100,11.3,1130.0,0.0,0.0,主升浪启动,328.71
2025-03-18,603799,SELL,4800,36.66,175976.77,-5865.89,-3.23,止损,176305.48
2025-03-18,002008,BUY,5900,29.84,176079.66,0.0,0.0,主升浪启动,225.82
2025-03-19,002517,SELL,200,17.17,3433.86,-133.22,-3.73,止损,3659.68
2025-03-19,002195,BUY,500,6.85,3425.0,0.0,0.0,主升浪启动,234.68
2025-03-19,688166,SELL,4400,40.83,179652.81,-6325.18,-3.4,止损,179887.49
2025-03-20,600176,BUY,14400,12.44,179164.73,0.0,0.0,主升浪启动,722.76
2025-03-20,600885,SELL,900,25.1,22588.57,-860.04,-3.67,策略S点(破均线),23311.33
2025-03-20,002544,BUY,900,24.15,21734.41,0.0,0.0,主升浪启动,1576.92
2025-03-21,000733,SELL,3700,54.51,201674.59,5233.51,2.66,超时强平(7天),203251.51
2025-03-21,002008,SELL,5900,28.94,170728.05,-5351.61,-3.04,止损,373979.56
2025-03-21,600522,BUY,12900,15.44,199176.98,0.0,0.0,主升浪启动,174802.58
2025-03-21,002195,SELL,500,6.5,3250.0,-175.0,-5.11,止损,178052.58
2025-03-21,002292,SELL,100,10.35,1035.0,-95.0,-8.41,止损,179087.58
2025-03-21,000039,BUY,19100,9.36,178758.93,0.0,0.0,主升浪启动,328.65
2025-03-21,000408,SELL,400,35.48,14193.8,-451.41,-3.08,超时强平(7天),14522.45
2025-03-21,002891,SELL,4800,40.79,195790.3,-1861.03,-0.94,超时强平(7天),210312.75
2025-03-24,000878,BUY,14300,13.97,199801.92,0.0,0.0,主升浪启动,10510.84
2025-03-24,601168,BUY,600,17.1,10262.2,0.0,0.0,主升浪启动,248.64
2025-03-24,603979,SELL,4500,45.43,204454.14,5122.49,2.57,超时强平(7天),204702.78
2025-03-24,300476,BUY,2200,89.73,197396.88,0.0,0.0,主升浪启动,7305.89
2025-03-25,603659,BUY,300,19.12,5736.71,0.0,0.0,主升浪启动,1569.18
2025-03-25,600522,SELL,12900,14.67,189199.18,-9977.79,-5.01,策略S点(破均线),190768.37
2025-03-25,300573,BUY,3200,58.79,188141.44,0.0,0.0,主升浪启动,2626.93
2025-03-26,300476,SELL,2200,83.43,183549.08,-13847.8,-7.02,止损,186176.01
2025-03-26,002714,BUY,4800,38.76,186030.48,0.0,0.0,主升浪启动,145.53
2025-03-26,002544,SELL,900,23.21,20888.78,-845.63,-3.89,止损,21034.31
2025-03-26,000733,BUY,300,57.42,17224.58,0.0,0.0,主升浪启动,3809.73
2025-03-27,600499,BUY,400,8.49,3395.04,0.0,0.0,主升浪启动,414.69
2025-03-27,300573,SELL,3200,56.39,180437.13,-7704.31,-4.09,止损,180851.82
2025-03-27,603259,BUY,2700,66.34,179117.22,0.0,0.0,主升浪启动,1734.6
2025-03-27,000878,SELL,14300,13.33,190554.42,-9247.49,-4.63,止损,192289.02
2025-03-27,600415,BUY,13200,14.56,192190.21,0.0,0.0,主升浪启动,98.81
2025-03-27,601168,SELL,600,16.53,9918.81,-343.39,-3.35,策略S点(破均线),10017.62
2025-03-27,000039,SELL,19100,9.01,172027.42,-6731.51,-3.77,止损,182045.04
2025-03-27,603659,SELL,300,18.43,5528.86,-207.85,-3.62,策略S点(破均线),187573.9
2025-03-28,600208,BUY,55800,3.36,187488.0,0.0,0.0,主升浪启动,85.9
2025-03-31,002714,SELL,4800,37.55,180259.21,-5771.27,-3.1,策略S点(破均线),180345.11
2025-03-31,600176,SELL,14400,12.51,180142.25,977.52,0.55,超时强平(7天),360487.36
2025-03-31,000733,SELL,300,54.8,16438.65,-785.92,-4.56,止损,376926.01
2025-03-31,600988,BUY,8700,22.76,197975.05,0.0,0.0,主升浪启动,178950.96
2025-03-31,688608,BUY,600,289.42,173650.34,0.0,0.0,主升浪启动,5300.62
2025-03-31,603259,SELL,2700,65.68,177326.05,-1791.17,-1.0,策略S点(破均线),182626.67
2025-03-31,600208,SELL,55800,3.1,172980.0,-14508.0,-7.74,策略S点(破均线),355606.67
2025-04-01,688617,BUY,600,279.86,167914.76,0.0,0.0,主升浪启动,187691.9
2025-04-01,300573,BUY,3300,56.38,186052.76,0.0,0.0,主升浪启动,1639.14
2025-04-02,300573,SELL,3300,55.16,182022.65,-4030.11,-2.17,策略S点(破均线),183661.8
2025-04-02,688608,SELL,600,279.7,167820.69,-5829.66,-3.36,止损,351482.48
2025-04-02,002422,BUY,5400,36.4,196549.65,0.0,0.0,主升浪启动,154932.83
2025-04-07,600161,BUY,7100,21.73,154313.31,0.0,0.0,主升浪启动,619.52
2025-04-07,002422,SELL,5400,34.41,185819.1,-10730.55,-5.46,止损,186438.63
2025-04-07,600415,SELL,13200,13.0,171570.61,-20619.6,-10.73,止损,358009.24
2025-04-07,600988,SELL,8700,19.97,173768.49,-24206.56,-12.23,止损,531777.73
2025-04-07,600499,SELL,400,8.06,3222.34,-172.7,-5.09,止损,535000.08
2025-04-08,600258,BUY,13600,14.66,199375.1,0.0,0.0,主升浪启动,335624.97
2025-04-08,600312,BUY,11000,18.17,199816.25,0.0,0.0,主升浪启动,135808.72
2025-04-08,600025,BUY,14800,9.16,135620.7,0.0,0.0,主升浪启动,188.02
2025-04-11,600312,SELL,11000,17.49,192343.45,-7472.8,-3.74,策略S点(破均线),192531.47
2025-04-11,300661,BUY,2100,87.87,184522.04,0.0,0.0,主升浪启动,8009.42
2025-04-11,688617,SELL,600,296.28,177765.45,9850.68,5.87,超时强平(7天),185774.87
2025-04-11,600988,BUY,7200,25.54,183874.43,0.0,0.0,主升浪启动,1900.44
2025-04-14,600489,BUY,100,14.33,1433.37,0.0,0.0,主升浪启动,467.07
2025-04-15,600161,SELL,7100,21.6,153332.2,-981.1,-0.64,策略S点(破均线),153799.27
2025-04-15,300972,BUY,1300,112.62,146399.95,0.0,0.0,主升浪启动,7399.32
2025-04-15,601077,BUY,1200,6.16,7395.53,0.0,0.0,主升浪启动,3.79
2025-04-16,600988,SELL,7200,28.72,206769.3,22894.87,12.45,止盈,206773.09
2025-04-16,601816,BUY,33700,5.93,199690.9,0.0,0.0,主升浪启动,7082.19
2025-04-17,300144,BUY,700,9.98,6989.16,0.0,0.0,主升浪启动,93.02
2025-04-17,600258,SELL,13600,15.77,214477.27,15102.17,7.57,超时强平(7天),214570.29
2025-04-17,002891,BUY,4200,46.53,195408.55,0.0,0.0,主升浪启动,19161.74
2025-04-17,600025,SELL,14800,9.15,135475.65,-145.05,-0.11,超时强平(7天),154637.4
2025-04-18,000963,BUY,4000,37.76,151056.75,0.0,0.0,主升浪启动,3580.65
2025-04-21,000975,BUY,100,22.14,2213.79,0.0,0.0,主升浪启动,1366.86
2025-04-21,300144,SELL,700,9.6,6722.45,-266.71,-3.82,止损,8089.31
2025-04-21,600415,BUY,500,15.14,7569.75,0.0,0.0,主升浪启动,519.56
2025-04-21,601816,SELL,33700,5.74,193471.02,-6219.88,-3.11,策略S点(破均线),193990.58
2025-04-21,002155,BUY,9600,20.05,192502.82,0.0,0.0,主升浪启动,1487.76
2025-04-22,000617,BUY,100,7.8,779.59,0.0,0.0,主升浪启动,708.17
