Date,StockCode,Action,Shares,Price,Amount,PnL_Amount,PnL_Percent,Reason,Cash_Remaining
2025-10-17,600183,SELL,3200,54.29,173728.0,-24864.0,-12.52,策略S点(破均线),593392.08
2025-10-17,000617,SELL,17000,10.95,186207.2,-13530.04,-6.77,止损,779599.27
2025-10-20,002028,BUY,1700,114.47,194599.0,0.0,0.0,主升浪启动,585000.27
2025-10-20,600188,BUY,12900,15.49,199821.0,0.0,0.0,主升浪启动,385179.27
2025-10-20,600115,BUY,41800,4.78,199804.0,0.0,0.0,主升浪启动,185375.27
2025-10-20,002497,BUY,11300,16.38,185094.0,0.0,0.0,主升浪启动,281.27
2025-10-20,000776,SELL,8100,22.62,183227.6,-10725.91,-5.53,策略S点(破均线),183508.87
2025-10-20,600988,SELL,1900,29.52,56088.0,-4902.0,-8.04,止损,239596.87
2025-10-21,600667,BUY,22400,8.91,199584.0,0.0,0.0,主升浪启动,40012.87
2025-10-21,300972,BUY,200,198.78,39756.5,0.0,0.0,主升浪启动,256.37
2025-10-22,600089,SELL,6300,18.99,119637.0,-3717.0,-3.01,超时强平(9天),119893.37
2025-10-22,002407,SELL,200,19.65,3930.0,-234.0,-5.62,策略S点(破均线),123823.37
2025-10-22,002271,SELL,100,12.88,1288.0,-62.0,-4.59,策略S点(破均线),125111.37
2025-10-22,300972,SELL,200,177.19,35438.14,-4318.36,-10.86,策略S点(破均线),160549.51
2025-10-23,601600,BUY,17700,9.04,160008.0,0.0,0.0,主升浪启动,541.51
2025-10-23,603568,SELL,1000,21.96,21960.0,740.0,3.49,超时强平(9天),22501.51
2025-10-23,002128,BUY,800,25.33,20264.0,0.0,0.0,主升浪启动,2237.51
2025-10-24,002532,BUY,100,13.13,1313.28,0.0,0.0,主升浪启动,924.23
2025-10-27,002497,SELL,11300,18.27,206451.0,21357.0,11.54,止盈,207375.23
2025-10-27,300136,BUY,6300,31.43,198009.0,0.0,0.0,主升浪启动,9366.23
2025-10-27,600549,BUY,200,34.53,6906.0,0.0,0.0,主升浪启动,2460.23
2025-10-27,000708,BUY,100,14.82,1482.0,0.0,0.0,主升浪启动,978.23
2025-10-27,601179,BUY,100,7.68,768.0,0.0,0.0,主升浪启动,210.23
2025-10-27,600515,SELL,41100,4.4,180840.0,-4110.0,-2.22,策略S点(破均线),181050.23
2025-10-28,301358,BUY,2800,63.96,179088.0,0.0,0.0,主升浪启动,1962.23
2025-10-28,000933,SELL,6400,23.44,150016.0,6400.0,4.46,超时强平(9天),151978.23
2025-10-28,002595,BUY,2200,68.04,149688.0,0.0,0.0,主升浪启动,2290.23
2025-10-28,600516,BUY,400,5.68,2272.0,0.0,0.0,主升浪启动,18.23
2025-10-28,600188,SELL,12900,14.69,189501.0,-10320.0,-5.16,策略S点(破均线),189519.23
2025-10-28,002128,SELL,800,24.29,19432.0,-832.0,-4.11,策略S点(破均线),208951.23
2025-10-29,002407,BUY,8000,24.94,199520.0,0.0,0.0,主升浪启动,9431.23
2025-10-29,600362,BUY,200,42.48,8495.85,0.0,0.0,主升浪启动,935.37
2025-10-29,600219,BUY,200,4.33,865.89,0.0,0.0,主升浪启动,69.48
2025-10-29,601898,SELL,1900,13.82,26258.0,1330.24,5.34,超时强平(9天),26327.48
2025-10-29,002466,BUY,500,50.77,25385.0,0.0,0.0,主升浪启动,942.48
2025-10-29,000683,BUY,100,6.79,679.0,0.0,0.0,主升浪启动,263.48
2025-10-30,002028,SELL,1700,133.0,226100.0,31501.0,16.19,止盈,226363.48
2025-10-30,601012,BUY,9200,21.51,197892.0,0.0,0.0,主升浪启动,28471.48
2025-10-30,002709,BUY,600,40.89,24536.37,0.0,0.0,主升浪启动,3935.11
2025-10-30,600516,SELL,400,6.3,2520.0,248.0,10.92,止盈,6455.11
2025-10-30,002176,BUY,500,11.35,5675.0,0.0,0.0,主升浪启动,780.11
2025-10-31,301358,SELL,2800,70.65,197820.0,18732.0,10.46,止盈,198600.11
2025-10-31,301358,BUY,2700,73.01,197127.0,0.0,0.0,主升浪启动,1473.11
2025-10-31,300136,SELL,6300,35.9,226170.0,28161.0,14.22,止盈,227643.11
2025-10-31,601600,SELL,17700,10.25,181425.0,21417.0,13.38,止盈,409068.11
2025-10-31,600515,BUY,40500,4.93,199665.0,0.0,0.0,主升浪启动,209403.11
2025-10-31,688599,BUY,9800,20.37,199626.0,0.0,0.0,主升浪启动,9777.11
2025-10-31,600115,SELL,41800,4.8,200640.0,836.0,0.42,超时强平(9天),210417.11
2025-10-31,600885,BUY,6500,30.47,198055.0,0.0,0.0,主升浪启动,12362.11
2025-10-31,600039,BUY,1300,9.48,12324.0,0.0,0.0,主升浪启动,38.11
2025-10-31,600667,SELL,22400,8.67,194208.0,-5376.0,-2.69,策略S点(破均线),194246.11
2025-11-03,002407,SELL,8000,27.84,222720.0,23200.0,11.63,止盈,416966.11
2025-11-03,300390,BUY,5800,34.07,197606.0,0.0,0.0,主升浪启动,219360.11
2025-11-03,300136,BUY,5300,37.34,197902.0,0.0,0.0,主升浪启动,21458.11
2025-11-03,688472,BUY,1200,17.39,20868.0,0.0,0.0,主升浪启动,590.11
2025-11-03,600115,BUY,100,5.01,501.0,0.0,0.0,主升浪启动,89.11
2025-11-04,688599,SELL,9800,22.6,221480.0,21854.0,10.95,止盈,221569.11
2025-11-04,600362,SELL,200,39.03,7805.34,-690.51,-8.13,止损,229374.46
2025-11-04,002266,BUY,42900,4.66,199914.0,0.0,0.0,主升浪启动,29460.46
2025-11-04,601229,BUY,2900,9.99,28971.0,0.0,0.0,主升浪启动,489.46
2025-11-04,000683,SELL,100,6.45,645.0,-34.0,-5.01,策略S点(破均线),1134.46
2025-11-05,300136,SELL,5300,34.32,181896.0,-16006.0,-8.09,止损,183030.46
2025-11-05,601898,BUY,12300,14.82,182286.0,0.0,0.0,主升浪启动,744.46
2025-11-05,002532,SELL,100,13.1,1309.72,-3.56,-0.27,策略S点(破均线),2054.18
2025-11-05,600312,BUY,100,19.0,1900.0,0.0,0.0,主升浪启动,154.18
2025-11-05,002709,SELL,600,38.21,22924.18,-1612.18,-6.57,止损,23078.36
2025-11-06,688472,SELL,1200,20.99,25188.0,4320.0,20.7,止盈,48266.36
2025-11-06,601179,SELL,100,8.96,896.0,128.0,16.67,止盈,49162.36
2025-11-06,601179,BUY,5000,9.78,48900.0,0.0,0.0,主升浪启动,262.36
2025-11-06,600515,SELL,40500,5.6,226800.0,27135.0,13.59,止盈,227062.36
2025-11-06,002028,BUY,1300,147.7,192010.0,0.0,0.0,主升浪启动,35052.36
2025-11-06,600885,SELL,6500,34.0,221000.0,22945.0,11.59,止盈,256052.36
2025-11-06,601600,BUY,18400,10.86,199824.0,0.0,0.0,主升浪启动,56228.36
2025-11-06,000933,BUY,2000,26.96,53920.0,0.0,0.0,主升浪启动,2308.36
2025-11-06,300118,BUY,100,12.67,1267.0,0.0,0.0,主升浪启动,1041.36
2025-11-07,600219,SELL,200,4.78,956.84,90.95,10.5,止盈,1998.2
2025-11-07,002603,BUY,100,18.72,1872.0,0.0,0.0,主升浪启动,126.2
