回测开始日期,回测结束日期,止盈(%),止损(%),最大持仓(天),斜率阈值(°),绝对盈亏(元),总收益率(%),总交易笔数,胜率(%)
2025-03-01,2026-02-28,15.0,4.0,10,20.0,640220.35,64.02,681,35.24
2025-03-01,2026-02-28,11.0,7.0,8,25.0,639365.44,63.94,692,43.79
2025-03-01,2026-02-28,11.0,8.0,10,25.0,636536.32,63.65,734,38.42
2025-03-01,2026-02-28,10.0,8.0,7,20.0,632033.87,63.2,752,44.02
2025-03-01,2026-02-28,15.0,8.0,5,25.0,630205.25,63.02,763,43.77
2025-03-01,2026-02-28,14.0,8.0,7,20.0,627892.18,62.79,747,41.63
2025-03-01,2026-02-28,13.0,8.0,9,25.0,627405.46,62.74,616,40.75
2025-03-01,2026-02-28,13.0,4.0,9,25.0,627184.5,62.72,763,34.6
2025-03-01,2026-02-28,10.0,6.0,7,20.0,625733.03,62.57,736,40.9
2025-03-01,2026-02-28,11.0,5.0,5,25.0,623116.71,62.31,830,44.46
2025-03-01,2026-02-28,14.0,7.0,8,25.0,622845.12,62.28,625,41.12
2025-03-01,2026-02-28,8.0,7.0,8,25.0,622460.42,62.25,727,42.78
2025-03-01,2026-02-28,14.0,6.0,7,20.0,621718.85,62.17,752,41.76
2025-03-01,2026-02-28,14.0,8.0,5,20.0,621665.72,62.17,791,43.87
2025-03-01,2026-02-28,14.0,4.0,9,25.0,621592.19,62.16,664,35.84
2025-03-01,2026-02-28,11.0,6.0,5,25.0,619950.16,62.0,787,46.76
2025-03-01,2026-02-28,15.0,3.0,10,20.0,619385.75,61.94,761,30.09
2025-03-01,2026-02-28,10.0,3.0,7,25.0,615432.08,61.54,725,34.07
2025-03-01,2026-02-28,9.0,8.0,9,20.0,610238.86,61.02,690,42.61
2025-03-01,2026-02-28,8.0,6.0,7,25.0,607699.08,60.77,767,45.11
2025-03-01,2026-02-28,12.0,7.0,8,25.0,607289.08,60.73,670,41.34
2025-03-01,2026-02-28,15.0,4.0,6,25.0,606144.15,60.61,724,38.12
2025-03-01,2026-02-28,14.0,5.0,7,25.0,600028.88,60.0,718,39.97
2025-03-01,2026-02-28,8.0,8.0,7,25.0,599520.31,59.95,741,45.48
2025-03-01,2026-02-28,10.0,8.0,10,25.0,599426.51,59.94,722,40.17
2025-03-01,2026-02-28,15.0,7.0,5,25.0,598898.54,59.89,755,44.77
2025-03-01,2026-02-28,11.0,8.0,6,25.0,598442.34,59.84,710,44.23
2025-03-01,2026-02-28,15.0,3.0,7,20.0,594021.6,59.4,765,33.99
2025-03-01,2026-02-28,10.0,5.0,7,20.0,591837.15,59.18,731,41.04
2025-03-01,2026-02-28,9.0,4.0,8,25.0,591556.96,59.16,759,37.55
2025-03-01,2026-02-28,8.0,8.0,7,20.0,591524.45,59.15,785,45.86
2025-03-01,2026-02-28,12.0,5.0,10,20.0,588935.34,58.89,701,34.38
2025-03-01,2026-02-28,9.0,8.0,7,25.0,586710.18,58.67,711,43.88
2025-03-01,2026-02-28,12.0,7.0,9,25.0,585935.21,58.59,639,40.85
2025-03-01,2026-02-28,10.0,6.0,9,20.0,583553.97,58.36,707,38.9
2025-03-01,2026-02-28,9.0,7.0,7,25.0,582838.58,58.28,710,44.08
2025-03-01,2026-02-28,10.0,8.0,6,25.0,582698.23,58.27,732,44.13
2025-03-01,2026-02-28,10.0,7.0,6,25.0,582041.22,58.2,685,44.67
2025-03-01,2026-02-28,13.0,6.0,6,25.0,581313.15,58.13,704,42.76
2025-03-01,2026-02-28,10.0,3.0,9,25.0,581240.61,58.12,727,33.29
2025-03-01,2026-02-28,14.0,4.0,10,20.0,575370.4,57.54,709,34.7
