回测开始日期,回测结束日期,止盈(%),止损(%),最大持仓(天),斜率阈值(°),绝对盈亏(元),总收益率(%),总交易笔数,胜率(%)
2026-1-1,2026-4-12,14.0,8.0,6,15.0,149971.44,15.0,194,37.11
2026-1-1,2026-4-12,14.0,9.0,6,15.0,145919.44,14.59,191,38.74
2026-1-1,2026-4-12,25.0,2.0,12,15.0,144093.15,14.41,180,22.22
2026-1-1,2026-4-12,14.0,10.0,6,15.0,142775.44,14.28,191,38.74
2026-1-1,2026-4-12,22.0,14.0,8,30.0,139153.04,13.92,145,30.34
2026-1-1,2026-4-12,22.0,15.0,8,30.0,136884.04,13.69,143,33.57
2026-1-1,2026-4-12,22.0,12.0,8,30.0,128785.04,12.88,145,29.66
2026-1-1,2026-4-12,22.0,13.0,8,30.0,128336.04,12.83,143,30.77
2026-1-1,2026-4-12,20.0,5.0,9,30.0,126116.96,12.61,131,29.77
2026-1-1,2026-4-12,14.0,15.0,6,15.0,122837.44,12.28,196,38.78
2026-1-1,2026-4-12,14.0,10.0,6,25.0,120386.31,12.04,178,38.2
2026-1-1,2026-4-12,15.0,13.0,14,15.0,119994.18,12.0,172,28.49
2026-1-1,2026-4-12,14.0,10.0,6,20.0,112097.44,11.21,191,37.7
2026-1-1,2026-4-12,23.0,14.0,5,30.0,112063.71,11.21,172,37.21
2026-1-1,2026-4-12,14.0,9.0,6,20.0,110953.44,11.1,191,37.7
2026-1-1,2026-4-12,15.0,14.0,14,15.0,106942.18,10.69,176,27.84
2026-1-1,2026-4-12,14.0,15.0,9,30.0,105174.04,10.52,156,33.97
2026-1-1,2026-4-12,14.0,14.0,9,30.0,105000.04,10.5,162,32.72
2026-1-1,2026-4-12,14.0,10.0,6,30.0,104773.88,10.48,185,40.0
2026-1-1,2026-4-12,14.0,13.0,9,30.0,103621.04,10.36,165,32.12
2026-1-1,2026-4-12,14.0,12.0,9,30.0,102648.04,10.26,168,32.74
2026-1-1,2026-4-12,12.0,2.0,11,15.0,100800.65,10.08,209,25.36
2026-1-1,2026-4-12,25.0,13.0,5,20.0,100390.37,10.04,178,40.45
2026-1-1,2026-4-12,24.0,2.0,12,15.0,100320.15,10.03,171,21.64
2026-1-1,2026-4-12,23.0,13.0,5,30.0,98856.71,9.89,169,38.46
2026-1-1,2026-4-12,18.0,2.0,7,15.0,98095.53,9.81,202,26.73
2026-1-1,2026-4-12,12.0,2.0,11,25.0,96852.89,9.69,191,27.23
2026-1-1,2026-4-12,14.0,14.0,14,15.0,96551.18,9.66,158,27.85
2026-1-1,2026-4-12,14.0,13.0,11,15.0,94926.18,9.49,166,27.71
2026-1-1,2026-4-12,14.0,13.0,14,15.0,94276.18,9.43,163,26.99
2026-1-1,2026-4-12,24.0,13.0,5,20.0,94063.37,9.41,179,39.66
2026-1-1,2026-4-12,14.0,9.0,6,25.0,93273.31,9.33,179,38.55
2026-1-1,2026-4-12,19.0,12.0,7,25.0,92810.79,9.28,165,34.55
2026-1-1,2026-4-12,14.0,14.0,11,15.0,92146.18,9.21,165,27.27
2026-1-1,2026-4-12,21.0,2.0,11,25.0,91307.68,9.13,165,21.82
2026-1-1,2026-4-12,9.0,9.0,6,15.0,90493.89,9.05,199,39.7
2026-1-1,2026-4-12,13.0,9.0,6,15.0,89802.63,8.98,203,35.47
