Date,StockCode,Action,Shares,Price,Amount,PnL_Amount,PnL_Percent,Reason,Cash_Remaining
2026-01-26,600026,BUY,800,15.17,12136.0,0.0,0.0,主升浪启动,272.94
2026-01-26,688012,SELL,400,353.11,141244.0,-5776.0,-3.93,策略S点(破均线),141516.94
2026-01-26,600584,SELL,600,48.83,29298.0,-2268.0,-7.18,止损,170814.94
2026-01-26,300383,BUY,10900,15.64,170476.0,0.0,0.0,主升浪启动,338.94
2026-01-26,300316,SELL,200,49.92,9984.0,1564.0,18.57,止盈,10322.94
2026-01-26,601808,BUY,600,16.36,9816.0,0.0,0.0,主升浪启动,506.94
2026-01-26,002064,SELL,100,12.51,1251.0,-88.0,-6.57,策略S点(破均线),1757.94
2026-01-26,000100,SELL,2000,5.03,10060.0,140.0,1.41,超时强平(8天),11817.94
2026-01-27,300058,BUY,500,22.2,11100.0,0.0,0.0,主升浪启动,717.94
2026-01-27,300136,SELL,2100,82.28,172788.0,-23562.0,-12.0,止损,173505.94
2026-01-27,300724,BUY,1200,136.73,164076.0,0.0,0.0,主升浪启动,9429.94
2026-01-27,603806,BUY,500,18.74,9370.0,0.0,0.0,主升浪启动,59.94
2026-01-27,002185,SELL,300,13.27,3981.0,-303.0,-7.07,止损,4040.94
2026-01-27,600667,BUY,400,9.85,3940.0,0.0,0.0,主升浪启动,100.94
2026-01-27,000933,SELL,1800,32.75,58950.0,2268.0,4.0,超时强平(8天),59050.94
2026-01-27,002938,BUY,900,60.49,54441.0,0.0,0.0,主升浪启动,4609.94
2026-01-27,002318,BUY,100,33.0,3300.0,0.0,0.0,主升浪启动,1309.94
2026-01-27,600839,SELL,200,10.3,2060.0,-126.0,-5.76,策略S点(破均线),3369.94
2026-01-28,600489,SELL,2900,35.0,101500.0,14790.0,17.06,止盈,104869.94
2026-01-28,000960,BUY,2200,46.75,102850.0,0.0,0.0,主升浪启动,2019.94
2026-01-28,300017,BUY,100,15.59,1559.0,0.0,0.0,主升浪启动,460.94
2026-01-28,600988,SELL,5100,43.96,224196.0,26214.0,13.24,止盈,224656.94
2026-01-28,601168,BUY,5200,37.92,197196.21,0.0,0.0,主升浪启动,27460.73
2026-01-28,000629,BUY,6300,4.33,27279.0,0.0,0.0,主升浪启动,181.73
2026-01-28,002353,SELL,400,92.67,37068.0,3468.0,10.32,超时强平(8天),37249.73
2026-01-28,002353,BUY,400,92.67,37068.0,0.0,0.0,主升浪启动,181.73
2026-01-28,600938,SELL,100,33.93,3393.0,337.0,11.03,止盈,3574.73
2026-01-28,600938,BUY,100,35.57,3557.0,0.0,0.0,主升浪启动,17.73
2026-01-28,002008,SELL,4200,52.85,221970.0,23898.0,12.07,止盈,221987.73
2026-01-28,000830,BUY,9800,20.23,198254.0,0.0,0.0,主升浪启动,23733.73
2026-01-28,603799,BUY,200,80.76,16152.0,0.0,0.0,主升浪启动,7581.73
2026-01-28,600096,BUY,100,39.89,3989.0,0.0,0.0,主升浪启动,3592.73
2026-01-28,002266,BUY,700,5.1,3570.0,0.0,0.0,主升浪启动,22.73
2026-01-28,300142,SELL,2700,13.45,36315.0,-2781.0,-7.11,止损,36337.73
2026-01-28,600256,BUY,6300,5.7,35910.0,0.0,0.0,主升浪启动,427.73
2026-01-28,000069,BUY,100,2.77,277.0,0.0,0.0,主升浪启动,150.73
2026-01-29,300058,SELL,500,19.61,9805.0,-1295.0,-11.67,止损,9955.73
2026-01-29,300058,BUY,400,23.4,9360.0,0.0,0.0,主升浪启动,595.73
2026-01-29,600547,SELL,500,64.0,32000.0,6265.0,24.34,止盈,32595.73
2026-01-29,601179,SELL,100,15.0,1500.0,-63.0,-4.03,策略S点(破均线),34095.73
2026-01-29,300567,SELL,1300,134.0,174200.0,-13533.0,-7.21,超时强平(8天),208295.73
2026-01-29,600352,BUY,12900,15.47,199563.0,0.0,0.0,主升浪启动,8732.73
2026-01-29,600362,BUY,100,70.47,7047.0,0.0,0.0,主升浪启动,1685.73
2026-01-29,601600,BUY,100,15.7,1570.0,0.0,0.0,主升浪启动,115.73
2026-01-29,601216,SELL,300,6.05,1815.0,87.0,5.03,超时强平(8天),1930.73
2026-01-29,001914,BUY,100,12.14,1214.0,0.0,0.0,主升浪启动,716.73
2026-01-29,002340,SELL,20700,9.34,193338.0,-6624.0,-3.31,策略S点(破均线),194054.73
2026-01-29,002414,SELL,100,16.8,1680.0,-120.0,-6.67,策略S点(破均线),195734.73
2026-01-29,002572,BUY,12900,15.1,194790.0,0.0,0.0,主升浪启动,944.73
