Date,StockCode,Action,Shares,Price,Amount,PnL_Amount,PnL_Percent,Reason,Cash_Remaining
2024-02-28,600673,BUY,27800,7.18,199707.39,0.0,0.0,主升浪启动,800292.61
2024-02-29,600415,BUY,25400,7.87,199890.29,0.0,0.0,主升浪启动,600402.32
2024-02-29,601872,BUY,30000,6.66,199915.78,0.0,0.0,主升浪启动,400486.55
2024-02-29,300394,BUY,2900,67.92,196963.36,0.0,0.0,主升浪启动,203523.19
2024-02-29,002648,BUY,12600,15.77,198757.47,0.0,0.0,主升浪启动,4765.72
2024-02-29,601567,BUY,100,25.05,2505.17,0.0,0.0,主升浪启动,2260.55
2024-02-29,002601,BUY,100,17.33,1733.19,0.0,0.0,主升浪启动,527.36
2024-03-01,000725,BUY,100,4.03,402.9,0.0,0.0,主升浪启动,124.46
2024-03-12,300394,SELL,2900,67.16,194762.0,-2201.36,-1.12,策略S点(破均线),194886.47
2024-03-12,600809,BUY,800,241.38,193100.38,0.0,0.0,主升浪启动,1786.09
2024-03-12,601872,SELL,30000,6.77,202970.04,3054.27,1.53,策略S点(破均线),204756.13
2024-03-12,002601,SELL,100,17.29,1728.58,-4.61,-0.27,策略S点(破均线),206484.71
2024-03-12,002027,BUY,34600,5.76,199467.73,0.0,0.0,主升浪启动,7016.98
2024-03-12,600176,BUY,700,9.78,6847.64,0.0,0.0,主升浪启动,169.34
2024-03-12,601567,SELL,100,26.47,2646.92,141.75,5.66,策略S点(破均线),2816.26
2024-03-12,600233,BUY,200,13.27,2654.2,0.0,0.0,主升浪启动,162.06
2024-03-13,600673,SELL,27800,7.38,205040.03,5332.64,2.67,超时强平(10天),205202.08
2024-03-13,002180,BUY,7600,26.29,199804.0,0.0,0.0,主升浪启动,5398.08
2024-03-13,300476,BUY,200,26.48,5296.37,0.0,0.0,主升浪启动,101.72
2024-03-14,000725,SELL,100,3.92,392.11,-10.78,-2.68,策略S点(破均线),493.83
2024-03-14,600415,SELL,25400,8.48,215453.52,15563.23,7.79,超时强平(10天),215947.35
2024-03-14,688578,BUY,4000,48.33,193327.98,0.0,0.0,主升浪启动,22619.38
2024-03-14,300474,BUY,200,92.26,18451.29,0.0,0.0,主升浪启动,4168.09
2024-03-14,002648,SELL,12600,16.14,203310.08,4552.61,2.29,超时强平(10天),207478.17
2024-03-15,600362,BUY,9400,21.25,199759.85,0.0,0.0,主升浪启动,7718.32
2024-03-15,002738,BUY,100,38.97,3897.47,0.0,0.0,主升浪启动,3820.84
2024-03-15,600549,BUY,200,18.12,3623.91,0.0,0.0,主升浪启动,196.94
2024-03-19,600010,BUY,100,1.7,170.0,0.0,0.0,主升浪启动,26.94
2024-03-19,002180,SELL,7600,24.95,189620.0,-10184.0,-5.1,策略S点(破均线),189646.94
2024-03-19,002085,BUY,13700,13.78,188752.11,0.0,0.0,主升浪启动,894.83
2024-03-19,002414,BUY,100,8.06,805.79,0.0,0.0,主升浪启动,89.04
2024-03-20,300474,SELL,200,82.93,16586.21,-1865.08,-10.11,止损,16675.25
2024-03-20,002130,BUY,2000,8.1,16195.46,0.0,0.0,主升浪启动,479.79
2024-03-20,600176,SELL,700,9.5,6648.58,-199.06,-2.91,策略S点(破均线),7128.38
2024-03-20,600580,BUY,500,13.75,6876.42,0.0,0.0,主升浪启动,251.96
2024-03-20,300476,SELL,200,25.86,5171.63,-124.74,-2.36,策略S点(破均线),5423.59
2024-03-20,002625,BUY,300,16.26,4877.53,0.0,0.0,主升浪启动,546.06
2024-03-22,002738,SELL,100,36.03,3603.18,-294.29,-7.55,策略S点(破均线),4149.24
2024-03-22,300442,BUY,100,32.82,3281.93,0.0,0.0,主升浪启动,867.31
2024-03-22,002130,SELL,2000,9.81,19611.23,3415.77,21.09,止盈,20478.54
2024-03-22,002432,BUY,400,51.12,20448.73,0.0,0.0,主升浪启动,29.81
2024-03-22,600809,SELL,800,233.26,186606.75,-6493.63,-3.36,策略S点(破均线),186636.56
2024-03-22,002414,SELL,100,7.59,758.86,-46.93,-5.82,策略S点(破均线),187395.43
2024-03-22,300058,BUY,31900,5.87,187289.63,0.0,0.0,主升浪启动,105.79
2024-03-22,688578,SELL,4000,46.19,184779.2,-8548.78,-4.42,策略S点(破均线),184884.99
2024-03-22,300454,BUY,2300,78.68,180955.82,0.0,0.0,主升浪启动,3929.17
2024-03-22,002444,BUY,100,24.5,2450.4,0.0,0.0,主升浪启动,1478.78
2024-03-25,603993,BUY,100,7.46,745.5,0.0,0.0,主升浪启动,733.27
2024-03-25,300454,SELL,2300,70.19,161436.47,-19519.35,-10.79,策略S点(破均线),162169.74
2024-03-25,600010,SELL,100,1.6,160.0,-10.0,-5.88,止损,162329.74
2024-03-25,601600,BUY,23900,6.78,162125.44,0.0,0.0,主升浪启动,204.3
2024-03-26,002432,SELL,400,46.98,18791.15,-1657.58,-8.11,止损,18995.45
2024-03-26,002027,SELL,34600,5.87,203155.88,3688.16,1.85,超时强平(10天),222151.33
2024-03-26,002130,BUY,18200,10.94,199184.52,0.0,0.0,主升浪启动,22966.81
2024-03-26,300750,BUY,100,182.01,18200.8,0.0,0.0,主升浪启动,4766.01
2024-03-26,300058,SELL,31900,5.42,172742.86,-14546.77,-7.77,止损,177508.87
2024-03-26,600233,SELL,200,14.31,2861.59,207.39,7.81,超时强平(10天),180370.46
2024-03-26,601878,BUY,16300,11.05,180151.73,0.0,0.0,主升浪启动,218.74
2024-03-27,002130,SELL,18200,10.19,185429.18,-13755.34,-6.91,止损,185647.91
2024-03-27,300442,SELL,100,29.87,2987.11,-294.82,-8.98,止损,188635.03
2024-03-27,600362,SELL,9400,20.66,194228.04,-5531.81,-2.77,策略S点(破均线),382863.07
2024-03-27,600549,SELL,200,18.27,3654.41,30.5,0.84,策略S点(破均线),386517.47
2024-03-28,300083,BUY,28000,7.13,199640.0,0.0,0.0,主升浪启动,186877.47
2024-03-28,002405,BUY,21100,8.84,186524.0,0.0,0.0,主升浪启动,353.47
2024-03-28,002625,SELL,300,18.86,5657.22,779.69,15.99,止盈,6010.69
2024-03-28,002625,BUY,200,20.12,4023.44,0.0,0.0,主升浪启动,1987.25
2024-03-28,300433,BUY,100,13.02,1302.45,0.0,0.0,主升浪启动,684.8
2024-03-29,002085,SELL,13700,16.53,226395.36,37643.25,19.94,止盈,227080.16
2024-03-29,000426,BUY,17800,11.2,199389.27,0.0,0.0,主升浪启动,27690.89
2024-03-29,002532,BUY,4500,6.05,27215.16,0.0,0.0,主升浪启动,475.72
2024-04-01,002625,SELL,200,24.0,4799.16,775.72,19.28,止盈,5274.88
2024-04-01,300073,BUY,100,39.66,3966.38,0.0,0.0,主升浪启动,1308.5
2024-04-01,600580,SELL,500,13.43,6716.21,-160.2,-2.33,策略S点(破均线),8024.72
2024-04-01,600007,BUY,300,22.49,6745.62,0.0,0.0,主升浪启动,1279.1
2024-04-01,600176,BUY,100,10.62,1061.65,0.0,0.0,主升浪启动,217.45
2024-04-02,601878,SELL,16300,10.31,168004.89,-12146.83,-6.74,策略S点(破均线),168222.34
2024-04-02,600346,BUY,12300,13.67,168118.4,0.0,0.0,主升浪启动,103.94
2024-04-03,300083,SELL,28000,6.3,176400.0,-23240.0,-11.64,止损,176503.94
2024-04-03,002155,BUY,16300,10.81,176191.57,0.0,0.0,主升浪启动,312.36
2024-04-03,002405,SELL,21100,8.16,172176.0,-14348.0,-7.69,止损,172488.36
2024-04-03,000878,BUY,12700,13.54,171974.31,0.0,0.0,主升浪启动,514.06
2024-04-03,000630,BUY,100,3.86,385.96,0.0,0.0,主升浪启动,128.09
2024-04-08,600007,SELL,300,21.24,6370.86,-374.76,-5.56,止损,6498.96
2024-04-08,300347,BUY,100,51.67,5167.28,0.0,0.0,主升浪启动,1331.68
2024-04-09,002444,SELL,100,25.61,2560.98,110.59,4.51,超时强平(10天),3892.66
2024-04-09,301358,BUY,100,36.92,3692.46,0.0,0.0,主升浪启动,200.21
2024-04-09,601600,SELL,23900,6.82,163031.17,905.73,0.56,策略S点(破均线),163231.38
2024-04-09,600392,BUY,14000,11.6,162338.74,0.0,0.0,主升浪启动,892.65
2024-04-10,300073,SELL,100,49.11,4910.66,944.28,23.81,止盈,5803.31
2024-04-10,601899,BUY,300,17.28,5184.91,0.0,0.0,主升浪启动,618.4
2024-04-10,300433,SELL,100,12.88,1288.03,-14.42,-1.11,策略S点(破均线),1906.43
2024-04-10,000975,BUY,100,18.34,1833.92,0.0,0.0,主升浪启动,72.51
2024-04-10,300750,SELL,100,182.9,18290.0,89.2,0.49,策略S点(破均线),18362.52
2024-04-10,600233,BUY,1100,15.64,17203.8,0.0,0.0,主升浪启动,1158.72
