回测开始日期,回测结束日期,止盈(%),止损(%),最大持仓(天),斜率阈值(°),绝对盈亏(元),总收益率(%),总交易笔数,胜率(%)
2022-03-01,2023-02-28,11.0,8.0,15,25.0,-317804.96,-31.78,365,28.77
2022-03-01,2023-02-28,11.0,9.0,10,25.0,-318095.62,-31.81,381,28.87
2022-03-01,2023-02-28,10.0,4.0,11,20.0,-318590.27,-31.86,406,25.86
2022-03-01,2023-02-28,6.0,9.0,6,20.0,-319492.29,-31.95,510,39.02
2022-03-01,2023-02-28,11.0,4.0,11,20.0,-320707.7,-32.07,436,26.61
2022-03-01,2023-02-28,11.0,10.0,15,20.0,-321624.73,-32.16,372,27.96
2022-03-01,2023-02-28,12.0,10.0,7,25.0,-321690.63,-32.17,390,34.62
2022-03-01,2023-02-28,9.0,9.0,13,20.0,-322677.81,-32.27,422,30.57
2022-03-01,2023-02-28,10.0,9.0,8,25.0,-323265.95,-32.33,433,34.64
2022-03-01,2023-02-28,8.0,7.0,11,25.0,-323611.86,-32.36,402,31.84
2022-03-01,2023-02-28,10.0,8.0,12,25.0,-324321.06,-32.43,381,27.82
2022-03-01,2023-02-28,11.0,8.0,12,25.0,-325209.0,-32.52,376,30.59
2022-03-01,2023-02-28,8.0,10.0,8,25.0,-325286.15,-32.53,437,34.1
2022-03-01,2023-02-28,6.0,10.0,6,20.0,-326218.01,-32.62,515,39.42
2022-03-01,2023-02-28,5.0,3.0,13,20.0,-326513.37,-32.65,526,31.75
2022-03-01,2023-02-28,9.0,5.0,11,20.0,-326575.72,-32.66,438,30.59
2022-03-01,2023-02-28,9.0,8.0,11,25.0,-326592.04,-32.66,386,32.12
2022-03-01,2023-02-28,9.0,10.0,11,25.0,-327967.74,-32.8,420,32.62
2022-03-01,2023-02-28,11.0,10.0,7,25.0,-328737.1,-32.87,408,32.35
2022-03-01,2023-02-28,8.0,9.0,8,20.0,-330952.9,-33.1,413,33.9
2022-03-01,2023-02-28,12.0,9.0,7,20.0,-331408.71,-33.14,385,32.99
2022-03-01,2023-02-28,13.0,3.0,10,20.0,-335440.16,-33.54,445,24.94
2022-03-01,2023-02-28,11.0,10.0,8,25.0,-335445.73,-33.54,411,31.14
2022-03-01,2023-02-28,15.0,10.0,11,25.0,-335462.13,-33.55,339,31.27
2022-03-01,2023-02-28,9.0,3.0,14,20.0,-335773.72,-33.58,452,25.22
