回测开始,回测结束,P1_上轨偏移(%),P2_下轨偏移(%),负乖离要求(<-%),绝对盈亏(元),总收益率(%),总交易笔数,胜率(%)
2023-03-01,2024-02-28,6.0,12.0,8.0,146031.91,14.6,115,17.39
2023-03-01,2024-02-28,8.0,12.0,7.0,142650.39,14.27,68,14.71
2023-03-01,2024-02-28,4.0,12.0,8.0,137563.11,13.76,147,22.45
2023-03-01,2024-02-28,8.0,12.0,6.0,134692.99,13.47,74,13.51
2023-03-01,2024-02-28,4.0,8.0,8.0,130445.3,13.04,174,24.14
2023-03-01,2024-02-28,8.0,11.0,8.0,129564.43,12.96,107,12.15
2023-03-01,2024-02-28,7.0,12.0,8.0,102080.65,10.21,102,17.65
2023-03-01,2024-02-28,6.0,11.0,8.0,99573.6,9.96,145,15.86
2023-03-01,2024-02-28,9.0,12.0,7.0,87129.33,8.71,47,6.38
2023-03-01,2024-02-28,10.0,12.0,7.0,87129.33,8.71,47,6.38
2023-03-01,2024-02-28,9.0,12.0,6.0,78342.75,7.83,52,5.77
2023-03-01,2024-02-28,10.0,12.0,6.0,78342.75,7.83,52,5.77
2023-03-01,2024-02-28,5.0,12.0,8.0,68154.52,6.82,121,18.18
2023-03-01,2024-02-28,6.0,11.0,7.0,62599.78,6.26,130,19.23
2023-03-01,2024-02-28,4.0,10.0,6.0,59463.76,5.95,165,22.42
2023-03-01,2024-02-28,6.0,11.0,6.0,59190.73,5.92,143,20.28
2023-03-01,2024-02-28,8.0,10.0,8.0,57160.74,5.72,108,14.81
2023-03-01,2024-02-28,5.0,11.0,6.0,55007.18,5.5,160,20.62
2023-03-01,2024-02-28,6.0,10.0,7.0,48170.59,4.82,132,12.88
2023-03-01,2024-02-28,4.0,10.0,7.0,47959.75,4.8,158,24.05
2023-03-01,2024-02-28,7.0,11.0,6.0,43212.79,4.32,118,16.95
2023-03-01,2024-02-28,8.0,11.0,6.0,40310.22,4.03,129,12.4
2023-03-01,2024-02-28,5.0,10.0,6.0,38672.06,3.87,160,17.5
2023-03-01,2024-02-28,8.0,12.0,8.0,37287.71,3.73,103,13.59
2023-03-01,2024-02-28,7.0,11.0,8.0,37034.15,3.7,115,16.52
2023-03-01,2024-02-28,4.0,11.0,6.0,33400.6,3.34,175,22.86
2023-03-01,2024-02-28,6.0,10.0,6.0,32519.58,3.25,139,14.39
2023-03-01,2024-02-28,9.0,12.0,8.0,30566.45,3.06,79,7.59
2023-03-01,2024-02-28,10.0,12.0,8.0,30523.45,3.05,77,6.49
2023-03-01,2024-02-28,8.0,10.0,7.0,27043.2,2.7,115,9.57
2023-03-01,2024-02-28,8.0,10.0,6.0,26456.78,2.65,115,11.3
2023-03-01,2024-02-28,6.0,10.0,8.0,26178.86,2.62,132,18.18
2023-03-01,2024-02-28,5.0,10.0,7.0,22307.49,2.23,144,15.97
2023-03-01,2024-02-28,5.0,11.0,7.0,21033.38,2.1,153,18.95
2023-03-01,2024-02-28,8.0,9.0,8.0,12502.99,1.25,119,13.45
2023-03-01,2024-02-28,4.0,12.0,7.0,11410.63,1.14,140,23.57
2023-03-01,2024-02-28,8.0,8.0,8.0,8348.1,0.83,118,12.71
2023-03-01,2024-02-28,4.0,10.0,8.0,4272.85,0.43,156,21.79
2023-03-01,2024-02-28,8.0,11.0,7.0,2925.59,0.29,124,9.68
2023-03-01,2024-02-28,4.0,12.0,6.0,2507.03,0.25,138,22.46
2023-03-01,2024-02-28,4.0,11.0,7.0,-2287.85,-0.23,150,23.33
2023-03-01,2024-02-28,5.0,11.0,8.0,-4035.54,-0.4,149,18.79
2023-03-01,2024-02-28,5.0,10.0,8.0,-15649.08,-1.56,151,19.21
2023-03-01,2024-02-28,6.0,9.0,6.0,-26181.69,-2.62,179,15.64
2023-03-01,2024-02-28,6.0,12.0,6.0,-27861.64,-2.79,110,15.45
2023-03-01,2024-02-28,6.0,8.0,6.0,-30305.86,-3.03,172,14.53
2023-03-01,2024-02-28,7.0,12.0,7.0,-33394.56,-3.34,82,21.95
2023-03-01,2024-02-28,7.0,12.0,6.0,-36367.23,-3.64,87,19.54
2023-03-01,2024-02-28,9.0,11.0,8.0,-39543.85,-3.95,72,12.5
2023-03-01,2024-02-28,10.0,8.0,8.0,-43415.24,-4.34,89,8.99
2023-03-01,2024-02-28,7.0,11.0,7.0,-44571.29,-4.46,136,13.97
2023-03-01,2024-02-28,10.0,9.0,8.0,-45740.93,-4.57,93,11.83
2023-03-01,2024-02-28,9.0,8.0,8.0,-45701.43,-4.57,89,12.36
2023-03-01,2024-02-28,4.0,11.0,8.0,-45970.74,-4.6,158,21.52
2023-03-01,2024-02-28,9.0,9.0,8.0,-46407.11,-4.64,95,9.47
2023-03-01,2024-02-28,5.0,12.0,7.0,-59370.85,-5.94,113,15.04
2023-03-01,2024-02-28,5.0,12.0,6.0,-60892.58,-6.09,122,17.21
2023-03-01,2024-02-28,7.0,8.0,8.0,-63954.72,-6.4,127,11.02
2023-03-01,2024-02-28,8.0,9.0,6.0,-69527.62,-6.95,110,11.82
2023-03-01,2024-02-28,6.0,12.0,7.0,-71544.77,-7.15,102,13.73
2023-03-01,2024-02-28,5.0,9.0,6.0,-75723.83,-7.57,187,19.79
2023-03-01,2024-02-28,8.0,8.0,6.0,-79228.23,-7.92,117,12.82
2023-03-01,2024-02-28,9.0,10.0,6.0,-83267.28,-8.33,90,10.0
2023-03-01,2024-02-28,10.0,10.0,6.0,-83749.94,-8.37,84,5.95
2023-03-01,2024-02-28,4.0,9.0,8.0,-84056.56,-8.41,176,23.3
2023-03-01,2024-02-28,7.0,10.0,6.0,-86246.16,-8.62,119,10.08
2023-03-01,2024-02-28,7.0,10.0,7.0,-89358.47,-8.94,98,10.2
2023-03-01,2024-02-28,10.0,10.0,7.0,-95313.23,-9.53,81,7.41
2023-03-01,2024-02-28,9.0,10.0,7.0,-95865.4,-9.59,85,5.88
