回测开始,回测结束,P1_上轨偏移(%),P2_下轨偏移(%),负乖离要求(<-%),绝对盈亏(元),总收益率(%),总交易笔数,胜率(%)
2025-03-01,2026-02-28,5.0,9.0,10.0,903634.35,90.36,57,43.86
2025-03-01,2026-02-28,8.0,9.0,6.0,883694.2,88.37,79,27.85
2025-03-01,2026-02-28,9.0,11.0,6.0,882994.15,88.3,48,27.08
2025-03-01,2026-02-28,5.0,8.0,10.0,881873.57,88.19,60,41.67
2025-03-01,2026-02-28,9.0,9.0,6.0,876612.77,87.66,52,26.92
2025-03-01,2026-02-28,8.0,10.0,6.0,837102.99,83.71,53,33.96
2025-03-01,2026-02-28,10.0,9.0,6.0,815685.77,81.57,41,31.71
2025-03-01,2026-02-28,8.0,9.0,7.0,809677.22,80.97,46,39.13
2025-03-01,2026-02-28,8.0,8.0,6.0,800903.61,80.09,95,26.32
2025-03-01,2026-02-28,9.0,10.0,6.0,789401.08,78.94,27,44.44
2025-03-01,2026-02-28,10.0,8.0,6.0,788178.57,78.82,45,33.33
2025-03-01,2026-02-28,9.0,9.0,7.0,780595.13,78.06,41,34.15
2025-03-01,2026-02-28,9.0,8.0,8.0,776885.12,77.69,50,30.0
2025-03-01,2026-02-28,10.0,8.0,8.0,776475.91,77.65,43,30.23
2025-03-01,2026-02-28,9.0,8.0,6.0,755286.57,75.53,51,35.29
2025-03-01,2026-02-28,4.0,8.0,10.0,750065.63,75.01,68,41.18
2025-03-01,2026-02-28,9.0,9.0,8.0,750133.41,75.01,44,31.82
2025-03-01,2026-02-28,4.0,9.0,10.0,746226.12,74.62,60,46.67
2025-03-01,2026-02-28,10.0,10.0,6.0,732802.08,73.28,25,40.0
2025-03-01,2026-02-28,10.0,9.0,10.0,725281.55,72.53,22,45.45
2025-03-01,2026-02-28,10.0,8.0,10.0,724821.36,72.48,25,40.0
2025-03-01,2026-02-28,5.0,10.0,6.0,723550.22,72.36,73,39.73
2025-03-01,2026-02-28,10.0,11.0,6.0,716936.02,71.69,26,46.15
2025-03-01,2026-02-28,10.0,9.0,7.0,714801.13,71.48,32,40.62
2025-03-01,2026-02-28,8.0,8.0,8.0,704613.39,70.46,48,33.33
2025-03-01,2026-02-28,10.0,9.0,8.0,703546.13,70.35,30,40.0
2025-03-01,2026-02-28,7.0,9.0,10.0,697594.16,69.76,40,42.5
2025-03-01,2026-02-28,8.0,8.0,9.0,695682.19,69.57,29,41.38
2025-03-01,2026-02-28,10.0,11.0,10.0,695581.55,69.56,22,45.45
2025-03-01,2026-02-28,8.0,9.0,9.0,693763.19,69.38,29,41.38
2025-03-01,2026-02-28,10.0,12.0,10.0,689578.95,68.96,27,37.04
2025-03-01,2026-02-28,9.0,8.0,9.0,683909.19,68.39,26,38.46
2025-03-01,2026-02-28,9.0,9.0,9.0,683642.19,68.36,26,38.46
2025-03-01,2026-02-28,10.0,8.0,9.0,682653.19,68.27,24,37.5
2025-03-01,2026-02-28,10.0,9.0,9.0,681941.19,68.19,24,37.5
2025-03-01,2026-02-28,10.0,10.0,10.0,679781.55,67.98,23,47.83
2025-03-01,2026-02-28,7.0,8.0,10.0,672994.91,67.3,41,36.59
2025-03-01,2026-02-28,8.0,10.0,7.0,668595.5,66.86,28,46.43
2025-03-01,2026-02-28,9.0,9.0,10.0,664281.61,66.43,22,45.45
2025-03-01,2026-02-28,9.0,8.0,10.0,661692.42,66.17,23,39.13
2025-03-01,2026-02-28,6.0,8.0,10.0,658070.65,65.81,44,38.64
2025-03-01,2026-02-28,9.0,8.0,7.0,656388.23,65.64,56,25.0
2025-03-01,2026-02-28,10.0,11.0,9.0,647531.86,64.75,20,50.0
2025-03-01,2026-02-28,8.0,9.0,8.0,647539.45,64.75,30,46.67
2025-03-01,2026-02-28,9.0,11.0,9.0,646867.67,64.69,22,50.0
2025-03-01,2026-02-28,4.0,9.0,9.0,645955.17,64.6,74,47.3
2025-03-01,2026-02-28,8.0,9.0,10.0,641059.97,64.11,30,46.67
2025-03-01,2026-02-28,9.0,11.0,10.0,638833.61,63.88,22,45.45
2025-03-01,2026-02-28,8.0,8.0,10.0,632955.07,63.3,31,41.94
2025-03-01,2026-02-28,9.0,12.0,9.0,628912.45,62.89,35,31.43
2025-03-01,2026-02-28,7.0,10.0,6.0,625650.84,62.57,40,35.0
2025-03-01,2026-02-28,9.0,12.0,8.0,625194.99,62.52,36,30.56
2025-03-01,2026-02-28,9.0,10.0,10.0,622566.61,62.26,22,45.45
2025-03-01,2026-02-28,8.0,11.0,9.0,619129.93,61.91,32,43.75
2025-03-01,2026-02-28,7.0,9.0,6.0,618670.5,61.87,71,33.8
2025-03-01,2026-02-28,8.0,11.0,6.0,606341.12,60.63,43,37.21
2025-03-01,2026-02-28,10.0,10.0,9.0,602487.87,60.25,19,42.11
2025-03-01,2026-02-28,9.0,10.0,9.0,602487.87,60.25,19,42.11
2025-03-01,2026-02-28,8.0,8.0,7.0,602479.86,60.25,67,25.37
2025-03-01,2026-02-28,9.0,12.0,10.0,601716.37,60.17,29,37.93
2025-03-01,2026-02-28,9.0,12.0,7.0,589238.05,58.92,40,35.0
2025-03-01,2026-02-28,9.0,12.0,6.0,585369.73,58.54,40,30.0
2025-03-01,2026-02-28,10.0,12.0,6.0,567819.05,56.78,33,33.33
2025-03-01,2026-02-28,10.0,8.0,7.0,565280.77,56.53,40,27.5
2025-03-01,2026-02-28,8.0,12.0,9.0,560647.39,56.06,37,37.84
2025-03-01,2026-02-28,5.0,9.0,9.0,560179.05,56.02,51,47.06
2025-03-01,2026-02-28,10.0,12.0,9.0,559318.78,55.93,30,30.0
2025-03-01,2026-02-28,5.0,9.0,8.0,557081.25,55.71,83,46.99
2025-03-01,2026-02-28,7.0,11.0,6.0,556018.42,55.6,52,26.92
2025-03-01,2026-02-28,4.0,10.0,6.0,550285.72,55.03,86,39.53
2025-03-01,2026-02-28,8.0,12.0,8.0,549309.35,54.93,40,32.5
2025-03-01,2026-02-28,6.0,9.0,6.0,548908.45,54.89,66,40.91
2025-03-01,2026-02-28,8.0,11.0,8.0,547561.04,54.76,33,33.33
2025-03-01,2026-02-28,8.0,10.0,9.0,543378.13,54.34,27,40.74
2025-03-01,2026-02-28,8.0,10.0,10.0,542728.97,54.27,28,46.43
2025-03-01,2026-02-28,8.0,11.0,10.0,542728.97,54.27,28,46.43
2025-03-01,2026-02-28,10.0,12.0,8.0,536870.78,53.69,32,28.12
2025-03-01,2026-02-28,10.0,12.0,7.0,534687.11,53.47,33,36.36
2025-03-01,2026-02-28,8.0,11.0,7.0,534142.04,53.41,41,24.39
2025-03-01,2026-02-28,10.0,11.0,7.0,518406.66,51.84,17,47.06
2025-03-01,2026-02-28,10.0,11.0,8.0,518406.66,51.84,17,47.06
2025-03-01,2026-02-28,9.0,11.0,8.0,518171.79,51.82,20,35.0
2025-03-01,2026-02-28,9.0,11.0,7.0,518149.79,51.81,21,33.33
2025-03-01,2026-02-28,10.0,10.0,7.0,513704.95,51.37,21,42.86
2025-03-01,2026-02-28,9.0,10.0,7.0,513704.95,51.37,21,42.86
2025-03-01,2026-02-28,9.0,10.0,8.0,513582.95,51.36,20,45.0
2025-03-01,2026-02-28,10.0,10.0,8.0,513582.95,51.36,20,45.0
2025-03-01,2026-02-28,8.0,10.0,8.0,512051.21,51.21,27,37.04
2025-03-01,2026-02-28,6.0,10.0,6.0,510627.86,51.06,56,39.29
2025-03-01,2026-02-28,5.0,11.0,6.0,502401.23,50.24,70,40.0
2025-03-01,2026-02-28,8.0,12.0,10.0,500368.57,50.04,34,41.18
2025-03-01,2026-02-28,9.0,13.0,9.0,496854.62,49.69,25,32.0
2025-03-01,2026-02-28,8.0,13.0,9.0,496854.62,49.69,25,32.0
2025-03-01,2026-02-28,8.0,12.0,7.0,496736.17,49.67,41,36.59
2025-03-01,2026-02-28,4.0,11.0,6.0,492906.16,49.29,79,39.24
2025-03-01,2026-02-28,6.0,9.0,7.0,481842.73,48.18,69,39.13
2025-03-01,2026-02-28,5.0,9.0,6.0,480609.15,48.06,90,37.78
2025-03-01,2026-02-28,8.0,12.0,6.0,477526.04,47.75,41,31.71
