Date,StockCode,Action,Shares,Price,Amount,PnL_Amount,PnL_Percent,Reason,Cash_Remaining
2025-11-21,002407,SELL,5100,32.33,164883.0,-29019.0,-14.97,止损,469108.07
2025-11-21,000792,SELL,7200,26.04,187488.0,-12312.0,-6.16,策略S点(破均线),656596.07
2025-11-21,600499,SELL,100,12.5,1250.0,-115.0,-8.42,策略S点(破均线),657846.07
2025-11-24,600516,SELL,600,6.08,3648.0,-504.0,-12.14,止损,661494.07
2025-11-24,002756,SELL,3500,48.35,169225.0,-27755.0,-14.09,止损,830719.07
2025-11-24,002572,BUY,14100,14.17,199797.0,0.0,0.0,主升浪启动,630922.07
2025-11-24,601857,SELL,300,9.78,2934.0,-147.0,-4.77,策略S点(破均线),633856.07
2025-11-25,300058,SELL,23000,10.82,248860.0,48990.0,24.51,止盈,882716.07
2025-11-25,000547,BUY,14100,14.1,198810.0,0.0,0.0,主升浪启动,683906.07
2025-11-25,600028,SELL,1000,5.8,5800.0,-250.0,-4.13,策略S点(破均线),689706.07
2025-11-27,000547,SELL,14100,11.8,166380.0,-32430.0,-16.31,止损,856086.07
2025-11-28,000426,BUY,5700,34.52,196764.0,0.0,0.0,主升浪启动,659322.07
2025-11-28,601988,SELL,32600,5.95,194096.52,-5435.98,-2.72,策略S点(破均线),853418.59
2025-12-01,002544,BUY,6800,29.35,199580.0,0.0,0.0,主升浪启动,653838.59
2025-12-01,002371,BUY,400,446.46,178584.0,0.0,0.0,主升浪启动,475254.59
2025-12-01,600803,BUY,9100,21.97,199927.0,0.0,0.0,主升浪启动,275327.59
2025-12-02,603650,BUY,4400,45.35,199540.0,0.0,0.0,主升浪启动,75787.59
2025-12-03,000547,BUY,4400,17.2,75680.0,0.0,0.0,主升浪启动,107.59
2025-12-04,002544,SELL,6800,27.51,187068.0,-12512.0,-6.27,止损,187175.59
2025-12-04,002544,BUY,6200,29.89,185318.0,0.0,0.0,主升浪启动,1857.59
2025-12-04,600879,BUY,100,12.26,1226.0,0.0,0.0,主升浪启动,631.59
2025-12-04,002572,SELL,14100,14.19,200079.0,282.0,0.14,超时强平(8天),200710.59
2025-12-05,002353,BUY,2800,71.33,199724.0,0.0,0.0,主升浪启动,986.59
2025-12-05,000630,BUY,100,5.84,584.0,0.0,0.0,主升浪启动,402.59
2025-12-05,603650,SELL,4400,43.01,189244.0,-10296.0,-5.16,止损,189646.59
2025-12-08,000547,SELL,4400,21.91,96404.0,20724.0,27.38,止盈,286050.59
2025-12-08,000547,BUY,9000,22.0,198000.0,0.0,0.0,主升浪启动,88050.59
2025-12-08,300751,BUY,500,146.86,73430.0,0.0,0.0,主升浪启动,14620.59
2025-12-08,000039,BUY,1500,9.5,14250.0,0.0,0.0,主升浪启动,370.59
2025-12-09,000426,SELL,5700,33.9,193230.0,-3534.0,-1.8,策略S点(破均线),193600.59
2025-12-09,002595,BUY,2500,76.86,192150.0,0.0,0.0,主升浪启动,1450.59
2025-12-09,600803,SELL,9100,21.46,195286.0,-4641.0,-2.32,策略S点(破均线),196736.59
2025-12-10,603129,BUY,600,294.5,176700.0,0.0,0.0,主升浪启动,20036.59
2025-12-10,002444,BUY,500,36.82,18410.0,0.0,0.0,主升浪启动,1626.59
2025-12-10,000630,SELL,100,5.54,554.0,-30.0,-5.14,止损,2180.59
2025-12-11,000547,SELL,9000,21.0,189000.0,-9000.0,-4.55,止损,191180.59
2025-12-11,002371,SELL,400,453.1,181240.0,2656.0,1.49,超时强平(8天),372420.59
2025-12-12,300751,SELL,500,175.1,87550.0,14120.0,19.23,止盈,459970.59
2025-12-12,600879,SELL,100,13.8,1380.0,154.0,12.56,止盈,461350.59
2025-12-12,600879,BUY,13900,14.38,199882.0,0.0,0.0,主升浪启动,261468.59
2025-12-12,603650,BUY,4200,46.65,195930.0,0.0,0.0,主升浪启动,65538.59
2025-12-12,002384,BUY,700,84.86,59402.0,0.0,0.0,主升浪启动,6136.59
2025-12-12,300346,BUY,100,43.41,4341.0,0.0,0.0,主升浪启动,1795.59
2025-12-15,002595,SELL,2500,88.0,220000.0,27850.0,14.49,止盈,221795.59
2025-12-15,300395,BUY,2100,91.8,192780.0,0.0,0.0,主升浪启动,29015.59
2025-12-15,300136,BUY,700,37.95,26565.0,0.0,0.0,主升浪启动,2450.59
2025-12-15,002202,BUY,100,17.5,1750.0,0.0,0.0,主升浪启动,700.59
2025-12-15,002384,SELL,700,81.0,56700.0,-2702.0,-4.55,止损,57400.59
2025-12-15,601318,BUY,800,67.08,53664.0,0.0,0.0,主升浪启动,3736.59
2025-12-15,000039,SELL,1500,9.17,13755.0,-495.0,-3.47,策略S点(破均线),17491.59
2025-12-16,000547,BUY,700,22.93,16051.0,0.0,0.0,主升浪启动,1440.59
2025-12-16,600879,SELL,13900,16.51,229489.0,29607.0,14.81,止盈,230929.59
2025-12-16,002353,SELL,2800,70.99,198772.0,-952.0,-0.48,策略S点(破均线),429701.59
2025-12-16,601698,BUY,8200,24.38,199916.0,0.0,0.0,主升浪启动,229785.59
2025-12-16,002389,BUY,8100,24.63,199503.0,0.0,0.0,主升浪启动,30282.59
2025-12-16,002544,SELL,6200,31.14,193068.0,7750.0,4.18,超时强平(8天),223350.59
2025-12-17,000547,SELL,700,21.05,14735.0,-1316.0,-8.2,策略S点(破均线),238085.59
2025-12-17,300394,BUY,900,217.78,196002.0,0.0,0.0,主升浪启动,42083.59
2025-12-17,600549,BUY,1000,41.59,41590.0,0.0,0.0,主升浪启动,493.59
2025-12-17,300136,SELL,700,35.98,25186.0,-1379.0,-5.19,止损,25679.59
2025-12-17,000975,BUY,1000,24.77,24770.0,0.0,0.0,主升浪启动,909.59
2025-12-17,002202,SELL,100,16.31,1631.0,-119.0,-6.8,止损,2540.59
2025-12-18,300394,SELL,900,218.81,196929.0,927.0,0.47,策略S点(破均线),199469.59
2025-12-18,002544,BUY,6000,33.2,199200.0,0.0,0.0,主升浪启动,269.59
2025-12-18,603650,SELL,4200,45.58,191436.0,-4494.0,-2.29,策略S点(破均线),191705.59
2025-12-18,002389,SELL,8100,23.4,189540.0,-9963.0,-4.99,止损,381245.59
2025-12-19,600118,BUY,3400,58.72,199648.0,0.0,0.0,主升浪启动,181597.59
2025-12-19,000408,BUY,2200,79.8,175560.0,0.0,0.0,主升浪启动,6037.59
2025-12-19,000807,BUY,200,29.23,5846.0,0.0,0.0,主升浪启动,191.59
2025-12-19,300346,SELL,100,43.42,4342.0,1.0,0.02,策略S点(破均线),4533.59
2025-12-19,600859,BUY,200,15.52,3104.0,0.0,0.0,主升浪启动,1429.59
2025-12-22,002444,SELL,500,36.16,18080.0,-330.0,-1.79,超时强平(8天),19509.59
2025-12-22,002544,SELL,6000,31.75,190500.0,-8700.0,-4.37,策略S点(破均线),210009.59
2025-12-22,603129,SELL,600,291.35,174810.0,-1890.0,-1.07,超时强平(8天),384819.59
2025-12-22,601899,BUY,6100,32.53,198433.0,0.0,0.0,主升浪启动,186386.59
2025-12-22,002202,BUY,11000,16.89,185790.0,0.0,0.0,主升浪启动,596.59
2025-12-23,601698,SELL,8200,23.51,192782.0,-7134.0,-3.57,策略S点(破均线),193378.59
2025-12-23,600219,BUY,38500,5.02,193270.0,0.0,0.0,主升浪启动,108.59
2025-12-24,300395,SELL,2100,104.39,219219.0,26439.0,13.71,止盈,219327.59
2025-12-24,300395,BUY,1800,108.95,196110.0,0.0,0.0,主升浪启动,23217.59
2025-12-24,300223,BUY,200,107.19,21438.0,0.0,0.0,主升浪启动,1779.59
2025-12-24,300118,BUY,100,14.08,1408.0,0.0,0.0,主升浪启动,371.59
2025-12-25,600118,SELL,3400,67.55,229670.0,30022.0,15.04,止盈,230041.59
2025-12-25,300136,BUY,3900,50.7,197730.0,0.0,0.0,主升浪启动,32311.59
2025-12-25,300751,BUY,100,174.96,17496.0,0.0,0.0,主升浪启动,14815.59
2025-12-25,300604,BUY,100,106.25,10625.0,0.0,0.0,主升浪启动,4190.59
2025-12-25,600549,SELL,1000,40.22,40220.0,-1370.0,-3.29,策略S点(破均线),44410.59
2025-12-25,601318,SELL,800,70.8,56640.0,2976.0,5.55,超时强平(8天),101050.59
2025-12-25,600765,BUY,5400,18.48,99792.0,0.0,0.0,主升浪启动,1258.59
2025-12-25,000975,SELL,1000,24.08,24080.0,-690.0,-2.79,策略S点(破均线),25338.59
2025-12-25,601233,BUY,1500,16.86,25290.0,0.0,0.0,主升浪启动,48.59
2025-12-26,002202,SELL,11000,19.95,219450.0,33660.0,18.12,止盈,219498.59
2025-12-26,600498,BUY,6700,29.45,197315.0,0.0,0.0,主升浪启动,22183.59
2025-12-26,002532,BUY,1400,15.45,21635.8,0.0,0.0,主升浪启动,547.79
2025-12-29,300118,SELL,100,16.67,1667.0,259.0,18.39,止盈,2214.79
2025-12-29,600859,SELL,200,15.21,3042.0,-62.0,-2.0,策略S点(破均线),5256.79
2025-12-30,601698,BUY,100,32.48,3248.0,0.0,0.0,主升浪启动,2008.79
2025-12-30,300751,SELL,100,205.42,20542.0,3046.0,17.41,止盈,22550.79
2025-12-30,688002,BUY,200,97.65,19530.0,0.0,0.0,主升浪启动,3020.79
2025-12-30,000301,BUY,200,11.37,2274.0,0.0,0.0,主升浪启动,746.79
2025-12-31,300395,SELL,1800,100.3,180540.0,-15570.0,-7.94,策略S点(破均线),181286.79
2025-12-31,000408,SELL,2200,84.4,185680.0,10120.0,5.76,超时强平(8天),366966.79
2025-12-31,000807,SELL,200,32.84,6568.0,722.0,12.35,超时强平(8天),373534.79
2025-12-31,000807,BUY,6000,32.84,197040.0,0.0,0.0,主升浪启动,176494.79
2025-12-31,002318,BUY,6000,28.95,173700.0,0.0,0.0,主升浪启动,2794.79
2025-12-31,000878,BUY,100,20.51,2051.0,0.0,0.0,主升浪启动,743.79
